,e_1,f_1,c_1,d_1,b_1,a_1,h_1,d_0,g_1,c_0,f_0,b_0,h_0,a_0,g_0,e_0
e_1,0.17,0.94,1.63,1.93,1.72,1.86,0.63,0.36,0.49,0.35,0.39,0.37,0.3,0.33,0.25,1.57
f_1,1.52,0.17,1.79,1.43,1.97,1.84,0.36,0.38,0.53,0.34,0.79,0.31,0.15,0.29,0.29,0.3
c_1,1.42,1.73,0.15,2.14,1.81,1.55,0.45,0.18,0.43,1.01,0.3,0.37,0.3,0.4,0.33,0.34
d_1,2.19,1.76,1.69,0.15,1.83,1.36,0.4,1.41,0.3,0.31,0.32,0.39,0.23,0.33,0.15,0.33
b_1,1.91,1.81,0.91,1.87,0.14,1.52,0.52,0.38,0.52,0.36,0.46,1.35,0.23,0.5,0.19,0.3
a_1,1.92,1.51,1.93,1.93,0.74,0.1,0.53,0.41,0.37,0.48,0.4,0.61,0.29,1.42,0.34,0.65
h_1,0.94,0.99,1.08,0.9,0.88,0.97,0.07,0.18,0.29,0.16,0.14,0.15,0.31,0.15,0.16,0.14
d_0,0.47,1.13,0.97,2.21,1.2,1.12,0.24,0.08,0.32,0.21,0.17,0.16,0.15,0.16,0.14,0.15
g_1,0.84,1.37,1.1,0.87,0.85,0.91,0.2,0.26,0.05,0.2,0.15,0.2,0.11,0.23,0.32,0.18
c_0,0.97,0.88,3.45,0.48,1.12,0.96,0.27,0.27,0.37,0.07,0.19,0.16,0.13,0.21,0.14,0.14
f_0,0.89,3.26,0.85,0.81,0.8,0.79,0.25,0.2,0.19,0.17,0.07,0.18,0.14,0.14,0.09,0.17
b_0,0.9,0.96,1.08,0.68,2.76,0.91,0.25,0.23,0.32,0.09,0.15,0.06,0.12,0.16,0.11,0.17
h_0,0.97,1.1,0.81,0.73,0.85,0.98,0.81,0.25,0.28,0.2,0.17,0.17,0.34,0.17,0.16,0.16
a_0,0.73,1.01,0.9,1.04,1.09,2.98,0.29,0.15,0.26,0.2,0.14,0.08,0.12,0.04,0.11,0.13
g_0,0.8,1.24,0.93,0.72,1.13,0.93,0.24,0.24,0.89,0.18,0.17,0.19,0.11,0.22,0.32,0.15
e_0,2.51,1.16,0.92,0.82,0.98,0.68,0.22,0.17,0.34,0.2,0.08,0.17,0.16,0.16,0.08,0.04
