,e_1,f_1,d_1,c_1,b_1,a_1,h_1,c_0,g_1,d_0,b_0,f_0,h_0,a_0,e_0,g_0
e_1,1.0,0.78,0.99,0.95,0.82,0.67,0.55,0.4,0.47,0.62,0.43,0.44,0.36,0.35,0.37,0.34
f_1,1.28,1.0,0.94,0.86,0.75,0.76,0.38,0.41,0.38,0.37,0.38,0.33,0.29,0.32,0.25,0.3
d_1,1.02,1.07,1.0,0.89,0.84,0.84,0.52,0.61,0.4,0.43,0.39,0.38,0.36,0.33,0.39,0.25
c_1,1.04,1.17,1.13,1.0,1.27,0.68,0.52,0.45,0.54,0.32,0.45,0.42,0.39,0.33,0.35,0.37
b_1,1.22,1.33,1.19,0.8,1.0,1.34,0.63,0.5,0.41,0.5,0.33,0.46,0.42,0.37,0.4,0.4
a_1,1.48,1.33,1.19,1.46,0.74,1.0,0.73,0.61,0.59,0.54,0.73,0.59,0.61,0.85,0.47,0.54
h_1,1.87,2.55,1.95,1.85,1.66,1.39,1.0,0.78,1.16,0.91,0.91,0.83,0.72,0.67,0.63,0.8
c_0,2.41,2.43,1.74,2.08,1.91,1.61,1.28,1.0,1.04,1.04,1.26,0.94,0.89,0.89,0.75,0.74
g_1,2.16,2.57,2.7,1.9,2.28,1.66,0.86,0.99,1.0,0.84,0.94,1.13,0.64,0.81,0.65,0.65
d_0,1.71,2.46,2.18,3.03,2.07,1.89,1.11,0.94,1.17,1.0,1.04,0.81,0.91,0.78,0.83,0.87
b_0,2.37,2.53,2.56,2.19,2.66,1.46,1.15,0.8,1.03,1.0,1.0,0.95,0.79,1.39,0.8,0.79
f_0,2.17,2.89,2.72,2.63,2.11,1.74,1.21,1.06,0.9,1.18,0.98,1.0,1.0,0.97,1.15,0.72
h_0,2.93,3.3,2.84,2.52,2.36,1.71,1.39,1.09,1.59,1.12,1.29,1.02,1.0,0.88,0.83,1.03
a_0,2.78,2.99,3.01,3.07,2.85,1.31,1.51,1.15,1.19,1.3,0.76,1.05,1.19,1.0,0.9,0.88
e_0,2.68,4.11,2.52,2.86,2.37,2.05,1.53,1.36,1.46,1.19,1.27,0.89,1.2,1.06,1.0,0.9
g_0,2.92,3.19,3.82,2.81,2.44,2.03,1.21,1.33,1.54,1.08,1.31,1.45,0.94,1.1,1.04,1.0
