,e_1,f_1,d_1,c_1,b_1,a_1,h_1,g_1,d_0,c_0,b_0,f_0,a_0,h_0,e_0,g_0
e_1,1.73,0.83,0.73,1.0,0.78,0.74,0.95,0.93,1.56,0.9,0.95,0.9,1.04,1.01,0.74,0.88
f_1,1.23,1.8,0.77,0.82,0.7,0.68,0.89,0.8,0.96,0.9,1.03,0.63,0.91,0.9,0.75,0.86
d_1,0.74,0.86,1.97,0.65,0.78,0.77,1.0,1.05,0.71,1.69,1.27,1.05,1.01,1.04,1.01,1.14
c_1,0.74,0.8,0.77,1.97,1.32,0.78,0.98,0.93,0.86,0.56,0.7,0.96,0.93,0.9,0.94,0.86
b_1,0.76,0.82,0.88,0.78,2.13,1.42,0.96,0.94,0.86,0.77,0.63,1.05,0.71,1.01,0.99,1.06
a_1,0.86,0.87,0.87,0.78,0.73,2.98,1.05,1.05,0.86,1.03,0.97,1.0,0.88,1.04,1.18,1.06
h_1,0.83,1.1,1.04,0.9,0.8,0.66,1.74,1.27,0.88,0.97,1.0,1.07,1.01,0.77,1.11,1.34
g_1,0.75,0.73,1.29,0.9,0.81,0.75,1.01,2.02,1.02,1.05,1.01,1.54,1.02,1.13,1.17,0.8
d_0,0.85,0.82,0.73,1.45,0.96,0.8,1.02,1.0,1.38,0.76,0.92,1.08,1.01,1.09,1.09,1.05
c_0,0.88,0.93,0.94,0.78,0.78,0.74,1.04,1.05,1.06,1.59,1.97,1.27,1.47,1.21,1.11,1.22
b_0,0.89,0.95,0.9,0.98,0.65,0.66,1.05,1.03,1.04,1.0,1.73,1.16,2.06,1.22,1.12,1.09
f_0,0.72,0.77,1.02,0.93,0.81,0.96,0.98,1.11,1.14,1.19,1.08,1.99,1.32,1.24,2.25,1.26
a_0,0.99,1.02,0.94,0.86,0.81,0.67,1.06,1.04,0.91,1.05,1.22,1.11,1.7,1.18,1.25,1.04
h_0,0.84,1.16,0.95,0.88,0.8,0.79,0.78,1.02,0.91,1.0,1.11,0.95,0.91,0.83,1.28,1.19
e_0,0.74,0.99,0.94,0.88,0.94,0.86,1.12,1.11,0.91,0.96,1.07,1.08,1.08,1.1,1.99,1.18
g_0,0.73,0.86,1.32,0.83,0.77,0.72,1.02,0.88,0.8,1.16,1.01,1.6,1.04,1.06,1.29,0.94
