,f_1,e_1,d_1,c_1,b_1,a_1,h_1,g_1,c_0,d_0,b_0,f_0,h_0,a_0,e_0,g_0
f_1,2.37,1.23,0.76,0.79,0.65,0.71,1.43,1.08,1.53,1.76,1.82,0.64,1.73,1.54,1.62,2.34
e_1,0.67,2.4,0.77,0.9,0.8,0.72,1.43,1.5,1.46,2.89,1.73,1.77,2.07,1.63,1.04,1.77
d_1,0.75,0.7,2.51,0.6,0.86,0.62,1.5,1.74,2.65,0.69,1.59,2.01,2.2,1.98,1.94,2.01
c_1,0.77,0.66,0.82,2.59,1.23,0.6,1.75,1.41,0.7,1.47,1.61,1.65,2.1,1.63,1.89,2.08
b_1,0.85,0.77,0.7,0.7,2.72,1.46,1.39,1.62,1.58,1.55,0.89,1.64,1.64,1.53,1.66,1.92
a_1,0.87,0.7,0.82,0.99,0.49,3.29,1.39,1.42,1.96,1.97,1.83,1.66,2.82,1.2,1.57,1.63
h_1,1.32,1.01,1.05,0.83,0.93,1.14,3.89,2.12,2.01,2.31,2.0,2.11,1.96,2.05,2.0,3.51
g_1,1.04,0.82,1.31,0.93,0.99,1.11,1.91,4.38,1.93,1.87,2.29,3.05,2.98,2.32,1.8,1.52
c_0,1.31,1.06,1.01,0.68,0.82,0.88,1.89,1.81,3.81,2.17,3.7,2.38,2.7,2.69,2.24,3.36
d_0,1.12,0.84,0.66,1.67,0.99,1.04,1.66,1.96,1.93,3.59,2.38,2.38,3.49,2.42,2.31,3.15
b_0,1.12,0.87,1.12,1.14,0.57,0.98,2.2,2.07,2.25,1.98,3.97,2.19,2.89,4.39,2.68,2.89
f_0,0.8,1.0,1.02,1.05,1.1,1.18,2.26,1.77,2.51,2.23,2.49,4.24,3.55,1.89,3.43,3.03
h_0,1.41,0.92,1.01,1.15,1.0,0.7,1.07,2.25,2.12,1.97,2.27,1.81,1.87,2.34,3.11,3.87
a_0,0.96,1.05,1.11,1.27,1.11,,2.45,1.72,2.04,1.96,1.85,2.62,2.93,4.54,2.71,2.94
e_0,1.29,0.58,0.99,1.04,0.91,1.11,2.3,2.59,2.6,2.5,2.36,2.38,2.98,2.26,5.08,2.79
g_0,0.66,0.99,1.57,0.96,1.11,1.12,1.54,,2.07,1.78,2.18,2.84,1.97,1.82,2.31,1.8
