,f_1,e_1,c_1,d_1,b_1,a_1,h_1,d_0,g_1,c_0,f_0,b_0,h_0,e_0,a_0,g_0
f_1,0.18,12.92,11.42,15.23,12.42,12.84,2.11,2.15,3.13,2.71,,2.87,1.25,3.68,2.2,2.72
e_1,6.46,0.18,14.88,12.37,13.41,14.36,5.11,2.63,5.09,2.28,2.58,2.29,1.94,,3.61,1.85
c_1,15.12,12.65,0.16,12.58,12.84,8.82,2.79,1.83,5.18,,2.61,1.93,1.64,,2.76,2.01
d_1,12.56,17.06,15.84,0.15,10.98,14.06,4.32,,1.96,2.08,2.73,3.58,1.74,2.0,2.69,1.03
b_1,13.2,15.4,7.19,15.28,0.13,13.21,3.23,2.47,4.26,3.1,2.57,,1.42,,3.21,1.31
a_1,11.47,12.64,10.12,13.36,7.49,0.1,4.42,3.06,3.67,,2.87,,1.99,1.83,,1.81
h_1,3.28,4.38,2.95,2.73,3.63,3.49,0.07,0.65,1.02,0.67,0.65,0.64,,0.6,0.63,0.37
d_0,2.38,1.4,2.59,,2.39,2.01,0.78,0.08,0.75,0.74,0.57,0.56,0.37,0.38,0.5,0.55
g_1,3.98,3.08,3.83,2.97,4.26,3.93,0.61,0.82,0.05,0.73,0.79,0.55,0.33,,0.79,
c_0,3.04,2.59,,1.45,3.24,,0.49,0.49,1.04,0.08,0.45,0.46,0.35,0.42,0.42,0.31
f_0,,3.12,2.61,2.01,3.21,3.26,1.12,0.42,0.39,0.36,0.07,0.52,0.39,0.6,,0.23
b_0,2.69,2.49,3.06,3.98,,,0.77,0.71,0.7,0.26,0.5,0.07,0.26,0.37,0.49,0.37
h_0,1.82,1.35,1.55,2.11,1.38,1.57,,0.31,0.58,0.37,0.28,0.28,,0.34,0.38,0.25
e_0,2.63,,,2.55,,2.1,0.88,0.77,,0.47,0.25,0.61,0.41,0.04,,0.29
a_0,3.24,2.46,2.76,2.29,2.57,,0.57,0.5,0.63,0.44,,0.31,0.5,,0.04,
g_0,1.76,2.82,1.29,1.81,1.65,1.7,0.4,0.32,,0.49,0.3,0.37,0.22,0.26,,
