,e_1,f_1,d_1,c_1,b_1,a_1,h_1,d_0,g_1,c_0,f_0,b_0,h_0,e_0,a_0,g_0
e_1,1.0,0.69,0.98,1.34,0.96,0.89,0.87,0.96,0.69,0.58,0.75,0.75,0.62,0.69,0.52,0.63
f_1,1.46,1.0,0.86,0.86,0.87,0.68,0.57,0.67,0.69,0.68,0.61,0.51,0.52,0.43,0.66,0.57
d_1,1.02,1.16,1.0,0.93,0.94,0.8,0.71,0.66,0.6,0.87,0.63,0.69,0.59,0.61,0.53,0.45
c_1,0.76,1.14,1.08,1.0,1.36,0.85,0.71,0.49,0.62,0.53,0.63,0.52,0.63,0.54,0.49,0.63
b_1,1.03,1.16,1.05,0.73,1.0,1.44,0.76,0.71,0.68,0.78,0.65,0.77,0.69,0.63,0.54,0.64
a_1,1.12,1.46,1.23,1.19,0.7,1.0,0.84,0.86,0.86,0.67,0.65,0.92,0.79,0.79,0.82,0.7
h_1,1.23,1.7,1.44,1.38,1.3,1.14,1.0,0.86,1.17,0.88,0.89,0.85,0.76,0.78,0.77,1.0
d_0,1.03,1.46,1.55,2.03,1.44,1.22,1.14,1.0,1.14,0.77,1.02,1.0,0.85,0.89,0.96,0.9
g_1,1.44,1.44,1.68,1.62,1.54,1.24,0.86,0.83,1.0,0.96,1.2,0.79,0.72,0.78,0.77,0.82
c_0,1.69,1.46,1.18,1.7,1.16,1.64,1.2,1.27,1.06,1.0,1.04,1.28,0.89,0.82,0.88,0.88
f_0,1.28,1.66,1.63,1.72,1.52,1.42,1.13,1.02,0.91,0.94,1.0,1.02,0.88,1.34,0.99,0.7
b_0,1.37,1.81,1.38,2.03,1.23,1.06,1.15,0.97,1.29,0.73,0.95,1.0,0.94,1.06,1.35,0.97
h_0,1.65,1.88,1.68,1.61,1.39,1.27,1.29,1.16,1.36,1.09,1.11,1.08,1.0,0.83,0.92,1.06
e_0,1.48,2.29,1.62,1.83,1.43,1.29,1.37,1.17,1.29,1.22,0.73,0.98,1.22,1.0,1.25,1.03
a_0,1.96,1.57,1.83,2.02,1.83,1.2,1.27,1.11,1.26,1.22,0.97,0.77,1.1,0.76,1.0,0.9
g_0,1.63,1.78,2.29,1.6,1.59,1.52,0.99,1.07,1.29,1.21,1.44,1.01,0.94,0.94,1.11,1.0
