,f_1,e_1,d_1,c_1,b_1,a_1,h_1,g_1,c_0,d_0,b_0,f_0,a_0,h_0,e_0,g_0
f_1,0.17,0.4,0.41,0.46,0.42,0.44,0.11,0.17,0.08,0.09,0.09,0.11,0.09,0.05,0.07,0.07
e_1,0.26,0.16,0.49,0.53,0.47,0.49,0.13,0.14,0.1,0.11,0.1,0.11,0.09,0.07,0.16,0.08
d_1,0.52,0.49,0.16,0.46,0.42,0.38,0.11,0.08,0.09,0.14,0.1,0.08,0.08,0.06,0.09,0.04
c_1,0.46,0.37,0.5,0.14,0.48,0.38,0.12,0.13,0.14,0.05,0.08,0.09,0.08,0.06,0.09,0.06
b_1,0.48,0.51,0.48,0.25,0.13,0.41,0.14,0.14,0.12,0.1,0.14,0.1,0.09,0.06,0.09,0.06
a_1,0.52,0.48,0.45,0.42,0.23,0.09,0.13,0.12,0.09,0.11,0.15,0.11,0.17,0.08,0.12,0.07
h_1,0.4,0.38,0.41,0.37,0.37,0.36,0.06,0.11,0.08,0.08,0.08,0.08,0.08,0.07,0.07,0.06
g_1,0.44,0.38,0.4,0.39,0.39,0.39,0.09,0.05,0.09,0.09,0.09,0.08,0.07,0.04,0.08,0.08
c_0,0.45,0.4,0.23,0.68,0.41,0.38,0.14,0.1,0.05,0.13,0.09,0.09,0.08,0.06,0.08,0.06
d_0,0.37,0.22,0.69,0.44,0.45,0.42,0.12,0.12,0.08,0.05,0.08,0.09,0.08,0.06,0.09,0.07
b_0,0.38,0.38,0.32,0.5,0.57,0.44,0.11,0.11,0.04,0.09,0.05,0.08,0.07,0.06,0.08,0.05
f_0,0.63,0.4,0.39,0.33,0.39,0.38,0.11,0.07,0.08,0.08,0.08,0.04,0.08,0.05,0.08,0.03
a_0,0.41,0.38,0.38,0.41,0.49,0.54,0.1,0.11,0.07,0.09,0.04,0.09,0.04,0.06,0.08,0.05
h_0,0.4,0.39,0.4,0.38,0.39,0.35,0.13,0.1,0.08,0.08,0.07,0.08,0.06,0.09,0.06,0.06
e_0,0.53,0.55,0.35,0.4,0.39,0.31,0.11,0.08,0.08,0.08,0.07,0.04,0.07,0.06,0.03,0.04
g_0,0.4,0.41,0.4,0.38,0.4,0.31,0.08,0.13,0.08,0.09,0.08,0.08,0.07,0.04,0.08,0.06
