,d_1,e_1,f_1,c_1,b_1,a_1,h_1,g_1,c_0,d_0,b_0,f_0,h_0,g_0,a_0,e_0
d_1,0.44,6.41,4.23,5.31,4.05,3.66,1.17,0.69,0.82,2.92,0.85,0.72,0.61,0.43,0.74,0.65
e_1,4.11,0.44,2.25,4.54,4.24,3.94,1.95,1.79,0.9,0.97,1.13,0.85,0.73,0.69,1.04,5.54
f_1,4.64,4.56,0.43,4.01,3.75,4.61,0.96,1.35,0.83,0.77,0.89,2.92,0.45,0.6,0.9,1.08
c_1,5.49,3.76,4.27,0.42,4.8,4.16,1.53,1.54,4.27,0.5,0.75,0.91,0.64,0.87,0.83,1.02
b_1,4.54,4.83,6.94,2.84,0.39,4.91,1.09,1.21,1.41,1.32,3.82,1.06,0.69,0.85,0.99,0.85
a_1,6.35,4.91,6.64,6.26,3.15,0.33,2.25,1.6,1.39,1.4,1.86,1.35,1.04,0.77,,1.22
h_1,5.12,4.86,4.54,4.38,6.69,6.74,0.35,1.59,0.91,0.92,1.02,1.11,2.27,0.71,0.92,0.95
g_1,5.61,5.63,7.42,5.49,5.89,6.73,0.99,0.32,1.04,1.21,1.09,1.25,0.48,1.68,1.23,1.03
c_0,2.85,4.98,7.27,17.8,7.8,5.94,1.23,2.12,0.44,1.35,1.08,1.13,0.98,0.79,1.24,1.04
d_0,14.55,2.97,6.06,5.35,6.36,6.12,1.63,2.48,1.16,0.46,1.02,1.25,0.87,0.93,1.23,1.16
b_0,4.53,5.03,5.95,12.28,13.36,5.49,1.65,1.42,0.54,1.27,0.4,1.03,0.78,0.79,1.41,1.13
f_0,5.48,5.03,14.22,7.71,6.14,5.67,1.48,1.46,1.39,1.3,1.4,0.39,0.89,0.53,1.2,1.24
h_0,6.18,6.56,7.28,6.11,6.78,6.67,5.89,2.86,1.19,1.58,1.36,1.3,2.47,1.14,1.15,1.26
g_0,6.41,7.1,9.19,7.28,7.65,8.43,1.54,6.91,1.26,1.64,1.48,1.57,0.84,2.46,1.83,1.76
a_0,8.47,7.97,8.59,6.64,11.43,,2.02,2.01,1.07,1.48,0.69,1.17,1.58,1.19,0.33,1.31
e_0,8.0,23.86,9.17,5.64,8.0,7.94,1.91,1.93,1.4,1.71,1.73,0.87,0.8,0.92,1.48,0.32
