,f_1,e_1,d_1,c_1,b_1,a_1,h_1,d_0,g_1,c_0,b_0,f_0,h_0,a_0,g_0,e_0
f_1,0.44,1.73,1.54,2.05,2.09,1.79,0.42,0.49,0.66,0.38,0.37,1.0,0.22,0.41,0.32,0.46
e_1,1.17,0.44,2.07,2.18,2.18,1.95,0.58,0.51,0.57,0.41,0.4,0.54,0.31,0.36,0.36,0.97
d_1,1.96,2.27,0.42,2.09,2.28,1.95,0.51,1.28,0.33,0.44,0.35,0.36,0.24,0.39,0.2,0.4
c_1,2.11,1.84,3.01,0.41,1.82,1.91,0.54,0.22,0.72,0.78,0.43,0.38,0.35,0.4,0.25,0.32
b_1,2.5,2.43,2.32,1.16,0.39,2.83,0.76,0.46,0.64,0.59,1.11,0.46,0.33,0.47,0.4,0.38
a_1,3.89,2.69,3.02,3.12,1.3,0.32,1.25,0.59,1.4,0.51,0.77,0.59,0.51,1.26,0.41,0.57
h_1,3.72,3.46,3.32,3.48,3.09,2.26,0.33,0.64,1.01,0.75,0.69,0.62,0.88,0.61,0.48,0.64
d_0,3.75,1.88,8.41,4.29,3.58,3.28,1.3,0.38,1.19,0.85,0.85,0.74,0.55,0.81,0.63,0.7
g_1,4.07,3.75,3.39,4.08,4.01,3.62,0.8,0.95,0.3,0.77,0.8,0.76,0.44,0.81,1.09,0.7
c_0,3.76,3.96,1.93,8.66,4.34,4.32,1.39,1.0,1.0,0.38,0.79,0.74,0.64,0.73,0.61,0.84
b_0,4.25,3.58,3.14,5.77,7.74,3.6,1.15,0.91,1.25,0.43,0.38,0.78,0.55,0.78,0.51,0.64
f_0,9.89,3.26,3.85,3.69,4.37,4.93,1.43,0.77,0.68,0.67,0.87,0.36,0.61,0.81,0.37,0.71
h_0,4.34,4.0,4.37,5.13,5.45,3.88,2.27,1.09,1.1,0.83,0.78,0.86,1.2,0.82,0.73,0.62
a_0,4.6,5.58,3.8,4.84,6.78,7.29,1.89,1.42,1.19,1.04,0.52,0.95,0.69,0.35,0.77,1.27
g_0,5.43,4.4,5.04,5.12,5.46,6.04,1.1,1.02,2.83,1.0,1.01,1.12,0.51,0.72,1.12,0.83
e_0,7.73,6.89,4.46,6.2,5.28,5.11,1.37,0.85,1.67,1.02,1.01,0.41,0.75,1.2,0.62,0.32
