,e_1,f_1,d_1,c_1,b_1,a_1,h_1,g_1,d_0,c_0,f_0,b_0,h_0,a_0,e_0,g_0
e_1,0.18,6.15,14.69,13.65,13.68,11.65,3.63,4.96,2.75,3.01,3.58,2.91,1.73,2.34,,2.15
f_1,13.81,0.18,17.2,11.03,13.17,10.38,2.59,3.19,3.14,2.21,,1.97,1.46,2.9,2.57,2.44
d_1,17.96,12.35,0.15,18.46,12.84,16.11,3.01,1.93,,3.45,2.18,2.75,1.79,2.37,2.43,1.1
c_1,13.65,10.54,11.95,0.15,12.65,23.08,4.29,3.81,1.53,,2.5,2.71,1.89,,2.17,1.44
b_1,12.16,15.53,13.3,7.48,0.14,19.39,2.72,5.59,1.92,5.12,3.13,,1.36,2.8,2.3,1.89
a_1,11.65,15.05,12.27,16.92,7.27,0.09,3.86,3.41,3.36,1.77,,3.86,1.99,,2.02,2.49
h_1,3.63,2.98,3.17,3.21,3.53,4.32,0.07,0.83,0.7,0.55,0.72,0.56,,0.64,0.63,0.57
g_1,4.2,3.87,4.42,4.35,2.89,4.14,0.61,0.06,0.79,0.6,0.69,0.76,0.36,0.86,0.55,
d_0,1.45,2.74,,2.14,3.3,3.57,0.74,0.93,0.08,0.57,0.54,0.46,0.33,0.65,0.49,0.46
c_0,2.83,3.57,1.05,,2.39,1.99,0.84,0.81,0.8,0.07,0.49,0.68,0.39,0.6,0.52,0.31
f_0,2.49,,2.93,2.78,2.29,,0.87,0.4,0.67,0.51,0.07,0.81,0.39,0.37,0.69,0.2
b_0,3.36,2.63,2.97,3.05,,2.73,0.68,0.7,0.43,0.27,0.6,0.07,0.31,0.6,0.67,0.29
h_0,1.82,1.76,1.69,1.53,1.73,1.24,,0.54,0.33,0.46,0.21,0.36,,0.25,0.4,0.29
a_0,2.66,3.22,2.37,,3.45,,0.62,0.75,0.5,0.53,0.66,0.26,0.36,0.05,,0.48
e_0,,4.72,3.03,2.28,3.13,2.53,0.86,0.91,0.38,0.58,0.25,0.67,0.28,,0.05,0.27
g_0,1.52,1.97,2.44,2.06,1.65,1.37,0.38,,0.49,0.38,0.45,0.25,0.2,0.31,0.25,
