,f_1,e_1,d_1,c_1,b_1,a_1,h_1,g_1,c_0,d_0,f_0,b_0,h_0,e_0,a_0,g_0
f_1,1.04,1.6,1.45,1.43,1.22,1.05,0.46,0.59,0.43,0.45,0.55,0.43,0.29,0.34,0.38,0.36
e_1,1.11,1.05,1.61,1.69,1.56,1.26,0.6,0.62,0.44,0.53,0.58,0.44,0.35,0.47,0.41,0.35
d_1,1.7,1.63,1.04,1.47,1.49,1.21,0.57,0.41,0.51,0.52,0.4,0.45,0.31,0.39,0.34,0.23
c_1,1.77,1.41,2.08,1.05,1.93,1.47,0.67,0.65,0.54,0.33,0.48,0.47,0.35,0.49,0.44,0.36
b_1,2.15,1.85,1.8,1.13,1.05,1.64,0.67,0.64,0.67,0.52,0.51,0.6,0.45,0.49,0.49,0.38
a_1,2.8,2.86,2.61,2.36,1.69,1.06,1.08,0.98,0.82,0.83,0.76,0.91,0.61,0.69,0.75,0.58
h_1,4.69,4.24,4.35,4.07,4.0,2.99,1.23,1.57,1.21,1.23,1.28,1.17,1.08,1.08,1.09,1.0
g_1,4.91,4.54,5.48,4.53,4.78,4.15,1.67,1.25,1.43,1.42,1.49,1.32,0.86,1.17,1.24,0.99
c_0,6.04,5.94,3.68,6.72,4.35,3.92,2.15,1.95,1.33,2.15,1.55,1.81,1.23,1.37,1.33,1.06
d_0,5.59,3.96,6.62,6.34,5.83,4.92,2.31,2.25,1.43,1.38,1.63,1.55,1.24,1.65,1.6,1.39
f_0,6.05,5.2,5.88,5.29,5.25,5.06,2.09,1.53,1.63,1.72,1.34,1.57,1.36,2.04,1.45,0.87
b_0,5.78,5.37,5.12,6.92,5.83,4.31,2.31,2.03,1.14,1.84,1.6,1.36,1.35,1.49,1.64,1.13
h_0,7.51,7.36,7.73,7.42,6.63,5.75,3.05,3.0,2.06,2.21,1.99,1.96,1.84,1.62,1.6,1.55
e_0,10.03,7.69,7.03,7.66,7.3,5.81,3.16,2.5,2.08,2.18,1.32,1.94,1.83,1.42,1.82,1.29
a_0,8.66,7.62,8.19,8.39,7.71,6.68,2.66,2.46,2.08,2.43,2.14,1.48,1.98,1.87,1.45,1.59
g_0,9.08,8.81,9.81,8.41,8.51,7.06,2.5,3.42,2.42,2.32,2.62,2.51,1.8,2.25,1.97,2.04
