,f_1,e_1,d_1,c_1,b_1,a_1,h_1,d_0,g_1,c_0,f_0,b_0,a_0,h_0,e_0,g_0
f_1,1.0,1.54,0.92,0.99,0.82,0.75,0.61,0.61,0.95,0.55,,0.61,0.47,0.53,0.48,0.65
e_1,0.65,1.0,0.8,1.23,1.25,0.89,0.64,0.86,0.68,0.7,0.65,0.61,0.46,0.65,,0.57
d_1,1.09,1.25,1.0,1.1,0.86,0.87,0.59,,0.47,1.28,0.59,0.58,0.52,0.51,0.61,0.46
c_1,1.01,0.81,0.91,1.0,1.48,0.83,0.82,0.57,0.62,,0.58,0.57,0.72,0.56,0.64,0.66
b_1,1.22,0.8,1.16,0.68,1.0,1.29,0.68,0.81,0.73,0.67,0.84,,0.61,0.58,0.63,0.6
a_1,1.34,1.12,1.15,1.21,0.78,1.0,0.96,0.91,0.68,0.92,0.66,0.99,,0.58,0.62,0.67
h_1,1.65,1.56,1.69,1.22,1.47,1.04,1.0,0.89,1.01,0.85,0.7,0.78,0.76,,0.68,0.98
d_0,1.64,1.16,,1.75,1.24,1.1,1.13,1.0,0.96,1.25,0.97,0.78,0.92,0.92,0.97,0.86
g_1,1.05,1.48,2.14,1.6,1.38,1.47,0.99,1.04,1.0,0.82,0.92,1.33,0.81,0.84,0.81,
c_0,1.81,1.43,0.78,,1.5,1.09,1.17,0.8,1.21,1.0,1.06,1.36,1.11,1.01,0.75,0.99
f_0,,1.54,1.69,1.73,1.19,1.51,1.43,1.03,1.09,0.94,1.0,1.13,0.81,0.98,1.0,0.64
b_0,1.65,1.63,1.73,1.76,,1.01,1.27,1.28,0.75,0.74,0.88,1.0,1.61,0.86,0.88,0.79
a_0,2.13,2.17,1.91,1.39,1.65,,1.32,1.09,1.23,0.9,1.24,0.62,1.0,,,0.92
h_0,1.9,1.53,1.95,1.8,1.71,1.73,,1.09,1.19,0.99,1.02,1.17,,,1.08,0.96
e_0,2.09,,1.63,1.55,1.59,1.61,1.48,1.03,1.24,1.34,1.0,1.14,,0.93,1.0,
g_0,1.54,1.74,2.18,1.51,1.68,1.49,1.02,1.17,,1.01,1.57,1.27,1.08,1.04,,
