,e_1,d_1,f_1,c_1,b_1,a_1,h_1,g_1,d_0,c_0,b_0,f_0,h_0,e_0,a_0,g_0
e_1,5.97,2.28,2.73,3.55,3.06,2.68,10.0,10.8,22.14,12.09,12.11,15.49,21.51,12.88,15.31,22.06
d_1,2.69,6.28,2.96,2.19,2.72,2.98,10.83,11.56,9.08,21.24,17.11,14.0,21.39,14.86,17.25,21.05
f_1,4.43,2.62,6.41,2.97,2.48,2.36,10.28,9.02,13.13,11.86,13.42,8.34,16.51,9.62,14.28,19.85
c_1,2.58,2.66,2.62,7.06,5.09,3.25,9.32,10.5,12.35,8.37,9.43,12.94,21.45,13.67,11.43,17.15
b_1,2.31,2.87,2.96,2.79,7.94,5.88,10.77,10.27,11.92,13.02,10.57,12.67,20.86,15.07,10.7,21.25
a_1,2.67,3.0,3.36,3.02,2.57,10.6,11.27,10.51,12.52,13.39,14.73,12.06,22.88,14.79,11.4,21.1
h_1,2.98,3.28,3.72,3.12,3.0,2.94,19.86,13.28,12.46,12.4,13.13,14.26,18.45,16.48,15.72,30.73
g_1,2.7,4.34,2.61,2.9,2.89,3.06,11.4,20.02,11.58,14.2,14.26,20.89,22.08,18.34,14.29,19.14
d_0,2.86,2.43,2.72,5.28,3.56,3.3,10.92,10.48,19.5,9.32,10.52,14.34,21.47,15.97,12.88,23.17
c_0,3.19,3.21,3.34,2.74,2.37,2.84,11.7,12.06,12.86,20.94,25.54,15.32,25.58,16.43,22.83,22.33
b_0,2.76,3.25,3.42,3.18,2.41,2.27,11.31,11.25,14.47,15.32,23.72,15.1,24.91,15.56,30.63,24.2
f_0,2.42,3.5,2.61,3.42,3.02,3.4,11.26,13.42,15.53,12.67,14.72,23.18,24.4,29.67,15.8,26.74
h_0,2.7,3.23,3.81,3.2,2.95,3.27,8.69,14.1,13.42,12.88,15.72,13.78,15.86,17.26,15.62,27.03
e_0,2.12,3.5,3.19,3.34,3.23,3.56,11.09,12.91,13.51,13.34,15.45,14.0,26.04,28.5,16.47,24.94
a_0,2.74,3.39,3.03,3.48,3.48,2.0,11.71,11.54,13.38,12.79,16.65,15.44,24.57,17.0,31.38,26.42
g_0,2.63,4.25,2.83,3.22,2.89,2.87,11.56,10.35,11.86,13.02,13.1,19.79,25.6,20.06,14.49,18.05
