,e_1,f_1,d_1,c_1,b_1,a_1,h_1,d_0,g_1,c_0,b_0,f_0,h_0,a_0,e_0,g_0
e_1,2.37,1.17,0.84,1.29,0.94,0.76,1.94,3.69,1.82,1.85,2.21,2.03,2.4,1.75,1.43,2.37
f_1,1.69,2.39,0.9,1.05,0.85,0.84,1.69,2.32,1.69,2.01,2.09,1.42,2.59,1.61,1.26,2.2
d_1,0.98,1.16,2.5,0.79,0.99,0.91,1.95,1.51,2.02,3.64,2.48,2.21,2.99,2.07,2.08,2.58
c_1,0.98,1.03,1.03,2.48,1.63,0.76,1.87,2.13,1.66,1.4,1.68,1.97,2.89,1.67,2.0,2.31
b_1,1.05,1.01,1.08,1.14,2.65,1.54,1.72,2.04,1.54,1.88,1.61,1.95,2.47,1.33,1.85,2.48
a_1,0.99,1.17,1.27,0.97,0.96,3.13,2.09,2.39,1.78,2.19,2.4,2.19,2.9,1.49,1.77,2.54
h_1,1.18,1.6,1.2,1.05,0.91,0.83,3.54,2.24,2.12,1.83,2.36,2.03,2.61,2.2,1.89,3.21
d_0,1.23,1.23,0.83,1.8,1.06,0.77,2.11,3.3,1.73,1.5,2.23,2.13,2.94,1.53,1.83,2.49
g_1,1.02,1.11,1.64,1.05,1.06,0.81,2.16,2.01,3.76,2.26,2.09,3.1,2.73,2.16,2.24,2.39
c_0,1.17,1.37,1.29,0.86,0.75,0.81,2.27,2.31,1.81,3.5,4.0,2.42,3.06,2.41,2.21,2.68
b_0,1.25,1.29,1.23,1.22,0.77,0.73,2.23,2.55,1.96,2.11,3.49,2.2,3.19,3.95,2.07,2.8
f_0,1.0,1.07,1.34,1.13,1.12,0.85,2.46,2.5,1.93,2.17,2.7,3.55,3.22,2.25,3.78,3.1
h_0,0.98,1.45,1.27,1.1,1.01,0.85,1.73,2.05,2.39,2.44,2.51,2.43,2.35,1.96,2.06,3.22
a_0,1.02,1.31,1.24,1.14,0.97,0.8,2.41,2.43,2.21,2.43,2.45,2.36,3.54,3.8,2.38,2.79
e_0,0.94,1.38,1.2,1.18,1.13,0.84,2.41,2.3,1.82,2.09,2.49,2.23,3.7,2.18,3.62,2.95
g_0,1.02,1.01,1.56,1.13,1.11,0.9,2.33,1.96,1.57,2.15,2.56,3.32,3.22,1.85,2.32,2.59
