,f_1,e_1,c_1,d_1,b_1,a_1,h_1,g_1,d_0,c_0,f_0,b_0,h_0,e_0,a_0,g_0
f_1,1.07,3.55,3.14,2.91,3.26,2.77,1.05,1.27,1.05,0.81,1.9,0.99,0.66,0.73,0.86,0.67
e_1,2.25,1.07,3.75,3.39,3.17,2.66,1.24,1.31,1.14,1.0,1.1,0.94,0.84,1.95,0.88,0.74
c_1,3.89,3.02,1.07,3.8,3.42,2.6,1.24,1.44,0.67,1.72,0.93,0.82,0.86,1.0,0.83,0.89
d_1,3.9,3.85,3.61,1.07,3.83,2.71,1.33,0.89,2.41,1.22,0.86,0.83,0.79,0.91,0.72,0.55
b_1,3.9,4.46,2.49,3.66,1.07,4.6,1.59,1.45,1.27,1.62,1.12,2.5,0.87,0.98,1.15,0.8
a_1,5.68,5.22,7.31,7.86,2.83,1.07,1.95,2.09,1.47,1.67,1.73,2.09,1.48,1.83,2.67,1.16
h_1,7.01,7.73,7.0,7.14,6.72,7.14,1.39,3.26,2.11,2.25,2.73,2.23,2.51,2.17,1.79,1.99
g_1,8.47,9.1,8.08,9.71,8.88,6.76,2.5,1.37,2.54,2.53,3.35,2.47,1.46,1.82,2.32,3.86
d_0,8.26,5.67,10.08,12.74,9.67,8.48,3.48,2.99,1.7,2.33,2.47,2.44,1.93,2.27,2.87,2.3
c_0,10.29,9.21,16.23,5.48,9.14,10.73,3.85,3.58,3.06,1.64,2.82,3.3,2.3,2.0,2.7,2.34
f_0,16.46,8.05,9.43,9.45,9.9,7.16,3.17,2.1,2.77,2.35,1.6,3.22,2.29,2.31,2.64,1.46
b_0,11.21,9.63,16.43,9.65,16.36,6.65,4.2,3.39,2.96,1.57,2.42,1.63,2.37,2.08,3.24,2.12
h_0,12.91,11.36,10.56,10.24,12.27,9.79,7.88,5.47,3.52,2.96,3.15,2.78,3.49,3.07,2.81,2.81
e_0,18.73,19.45,11.03,13.67,11.64,7.87,4.41,5.55,3.61,3.65,2.17,5.04,2.65,1.66,3.38,2.35
a_0,12.91,12.93,15.33,15.92,12.29,17.44,5.87,3.93,2.87,3.62,4.26,1.97,2.51,2.71,1.67,3.31
g_0,17.4,13.14,12.12,13.09,14.55,14.45,4.35,7.0,4.19,3.36,4.64,4.03,2.41,3.34,3.36,4.65
