,d_1,f_1,e_1,c_1,b_1,a_1,h_1,d_0,c_0,g_1,b_0,f_0,h_0,a_0,e_0,g_0
d_1,0.91,0.37,0.29,0.22,0.24,0.2,0.3,0.17,0.52,0.23,0.31,0.26,0.29,0.22,0.19,0.22
f_1,0.28,0.9,0.53,0.29,0.22,0.18,0.29,0.31,0.28,0.21,0.24,0.16,0.28,0.16,0.12,0.19
e_1,0.26,0.33,0.91,0.36,0.27,0.18,0.28,0.55,0.28,0.22,0.23,0.23,0.3,0.19,0.13,0.23
c_1,0.33,0.3,0.26,0.9,0.48,0.17,0.27,0.27,0.17,0.21,0.18,0.23,0.29,0.17,0.18,0.21
b_1,0.32,0.32,0.26,0.32,0.89,0.38,0.3,0.33,0.23,0.22,0.18,0.24,0.28,0.13,0.17,0.2
a_1,0.35,0.39,0.3,0.33,0.2,0.88,0.3,0.26,0.26,0.23,0.26,0.23,0.32,0.11,0.16,0.22
h_1,0.36,0.51,0.34,0.31,0.28,0.21,0.61,0.26,0.3,0.3,0.26,0.27,0.23,0.16,0.2,0.31
d_0,0.22,0.33,0.31,0.61,0.34,0.22,0.3,0.51,0.22,0.25,0.27,0.24,0.32,0.2,0.18,0.24
c_0,0.42,0.41,0.34,0.27,0.22,0.19,0.34,0.32,0.52,0.27,0.49,0.3,0.32,0.27,0.2,0.25
g_1,0.56,0.31,0.25,0.33,0.29,0.18,0.28,0.26,0.31,0.6,0.29,0.42,0.33,0.15,0.23,0.19
b_0,0.43,0.42,0.32,0.34,0.18,0.15,0.34,0.29,0.35,0.27,0.53,0.28,0.39,0.42,0.23,0.25
f_0,0.46,0.28,0.28,0.34,0.33,0.17,0.31,0.26,0.38,0.29,0.32,0.51,0.37,0.21,0.47,0.26
h_0,0.4,0.47,0.3,0.34,0.28,0.21,0.24,0.3,0.3,0.38,0.3,0.26,0.24,0.21,0.21,0.33
a_0,0.4,0.38,0.34,0.36,0.28,0.11,0.38,0.34,0.36,0.3,0.33,0.27,0.38,0.45,0.21,0.26
e_0,0.41,0.4,0.27,0.33,0.35,0.17,0.29,0.31,0.34,0.27,0.26,0.32,0.41,0.23,0.44,0.33
g_0,0.58,0.32,0.25,0.33,0.3,0.22,0.29,0.23,0.34,0.2,0.27,0.4,0.31,0.22,0.25,0.2
