,e_1,f_1,d_1,c_1,b_1,a_1,h_1,g_1,d_0,c_0,b_0,f_0,h_0,a_0,e_0,g_0
e_1,5.71,0.59,0.52,0.65,0.58,0.58,2.22,1.78,5.9,2.98,3.14,3.59,4.57,3.38,0.86,3.64
f_1,1.02,5.74,0.56,0.7,0.52,0.46,1.64,1.93,2.49,2.88,3.19,0.76,3.97,3.5,2.66,4.5
d_1,0.57,0.68,6.37,0.42,0.55,0.62,2.94,2.54,0.81,5.52,3.31,2.73,4.99,2.91,2.58,4.19
c_1,0.58,0.54,0.61,6.68,1.16,0.59,1.68,2.01,3.06,0.67,2.26,2.87,4.46,2.32,3.22,4.5
b_1,0.58,0.58,0.6,0.69,7.23,1.08,2.24,2.52,2.67,2.68,0.39,2.59,4.34,2.86,3.04,3.91
a_1,0.59,0.61,0.65,0.44,0.63,10.58,2.31,2.6,2.63,3.05,2.77,4.32,3.97,,2.85,3.74
h_1,0.83,1.5,1.27,1.18,0.9,0.82,15.5,4.24,3.38,4.11,4.5,4.27,2.49,4.06,6.04,10.69
g_1,0.96,0.81,1.67,0.86,0.92,1.23,2.98,17.98,3.24,5.51,5.43,8.48,6.76,3.6,5.23,3.09
d_0,0.98,1.16,0.46,2.0,0.94,0.93,4.03,2.78,13.52,4.11,4.64,5.94,7.4,5.38,6.96,8.24
c_0,1.14,1.2,1.19,0.4,0.88,0.93,5.38,4.14,5.46,14.13,11.12,7.49,7.61,5.8,5.15,7.58
b_0,1.13,1.27,1.1,1.13,0.42,0.71,4.07,4.25,5.22,5.07,17.28,5.72,9.75,11.71,7.05,9.77
f_0,0.96,0.41,1.23,1.45,1.05,1.19,4.33,4.21,4.92,4.6,7.78,17.56,7.03,4.47,12.67,7.47
h_0,0.82,1.78,0.99,0.97,0.97,1.08,1.38,4.67,5.07,4.12,3.9,6.22,3.04,3.89,4.13,9.27
a_0,0.97,1.33,1.16,1.5,0.98,,4.55,2.65,4.6,4.85,4.95,3.8,9.03,23.63,4.86,9.47
e_0,0.4,0.88,1.38,1.54,1.09,0.93,6.47,4.93,4.15,6.27,5.0,7.05,8.26,4.86,25.18,7.65
g_0,0.99,1.11,1.69,0.76,1.18,0.98,3.11,1.38,3.96,4.74,4.21,5.94,6.47,5.15,4.81,3.7
