,e_1,d_1,f_1,c_1,b_1,a_1,h_1,d_0,g_1,c_0,b_0,f_0,h_0,a_0,e_0,g_0
e_1,1.12,5.53,3.08,5.82,5.69,4.59,1.67,1.06,1.77,1.19,1.01,1.19,0.78,1.06,2.61,1.04
d_1,7.51,1.12,5.36,5.42,5.0,5.01,1.36,2.9,0.95,0.9,0.95,1.0,0.63,0.96,0.96,0.49
f_1,5.4,4.89,1.13,5.2,4.93,5.22,1.14,1.1,1.99,0.98,1.12,2.93,0.67,1.02,1.01,0.74
c_1,4.36,7.0,6.05,1.13,7.16,4.92,1.72,0.65,1.56,3.13,1.04,1.2,0.75,0.98,1.31,0.98
b_1,6.95,7.09,6.69,3.5,1.14,7.75,2.0,1.73,2.23,1.73,3.88,1.51,1.4,1.5,1.67,1.02
a_1,11.92,10.47,11.26,11.11,4.31,1.14,2.98,2.26,2.93,2.59,3.1,1.97,1.42,7.13,1.99,1.51
h_1,15.55,16.53,20.56,16.6,16.49,17.56,1.76,3.32,5.02,3.9,3.3,3.12,4.54,3.1,2.86,2.37
d_0,11.5,38.33,21.33,20.7,24.51,25.86,7.09,2.33,6.68,4.25,4.07,4.59,3.41,4.43,3.72,3.51
g_1,23.83,19.82,22.91,23.27,20.07,20.15,4.98,4.72,1.78,4.19,4.46,3.68,2.35,3.63,3.61,4.88
c_0,22.38,11.47,26.87,60.15,22.7,18.76,7.86,7.35,6.87,2.22,5.26,4.4,3.9,4.28,4.35,2.83
b_0,25.49,21.8,25.1,37.07,64.42,29.45,6.46,4.82,7.45,2.91,2.46,4.33,4.35,5.2,4.46,3.73
f_0,24.63,22.08,57.85,30.95,27.7,27.74,8.99,7.28,3.91,5.09,5.07,2.31,3.79,5.2,5.85,2.85
h_0,34.62,30.87,32.2,41.95,36.45,34.18,18.96,6.79,12.42,5.9,5.81,7.36,8.52,5.42,5.33,4.88
a_0,31.37,40.09,34.13,40.87,62.95,79.75,10.9,8.39,13.11,7.1,3.74,7.26,5.53,2.81,6.16,5.48
e_0,53.19,38.33,57.85,43.67,44.68,45.57,11.78,9.03,10.89,7.76,7.64,3.65,6.1,7.0,2.51,5.24
g_0,43.18,33.86,46.75,40.35,46.95,42.53,9.58,9.64,19.67,9.39,9.3,8.8,4.22,9.39,6.49,10.32
