,f_1,e_1,d_1,c_1,b_1,a_1,h_1,d_0,c_0,g_1,b_0,f_0,h_0,a_0,e_0,g_0
f_1,0.46,32.31,29.92,36.87,35.94,37.34,5.8,5.95,6.09,12.23,6.77,,2.6,7.47,8.03,3.77
e_1,19.77,0.45,28.28,33.7,27.32,32.99,11.43,7.85,5.51,8.29,7.42,9.08,4.82,6.9,,7.72
d_1,37.75,38.47,0.42,30.48,46.38,28.21,14.17,,8.72,4.82,5.75,6.57,5.06,6.14,8.19,3.49
c_1,31.71,48.39,45.16,0.42,28.8,35.23,7.62,3.65,,8.55,7.13,8.43,6.81,7.84,8.76,4.88
b_1,37.69,30.99,32.3,21.91,0.4,42.82,9.64,8.36,8.8,10.21,,6.89,4.48,8.07,6.63,6.98
a_1,68.96,41.33,63.78,46.89,28.09,0.33,12.37,10.01,8.09,16.6,,10.77,5.16,,8.08,5.07
h_1,19.91,19.74,23.2,26.3,14.4,19.05,0.37,3.34,4.17,5.16,3.03,3.14,,2.5,2.33,2.16
d_0,13.43,9.01,,15.78,12.63,15.5,5.09,0.49,4.18,5.33,2.58,3.41,1.96,3.1,2.58,2.82
c_0,19.32,18.66,9.21,,17.39,16.09,3.99,2.97,0.48,4.59,2.7,2.45,2.47,2.69,3.3,2.23
g_1,17.55,31.13,24.34,17.59,28.38,19.93,4.2,5.19,4.44,0.33,5.5,3.64,2.21,3.76,3.27,
b_0,15.32,13.02,17.27,17.23,,,5.09,4.12,1.8,4.3,0.47,4.21,2.58,3.78,2.63,1.87
f_0,,22.52,17.22,16.54,18.37,14.7,5.36,3.82,2.66,3.16,4.31,0.44,2.3,,4.42,1.42
h_0,11.82,10.36,12.03,14.0,11.68,11.94,,1.91,2.66,4.3,2.85,2.36,,2.19,2.86,1.68
a_0,16.46,28.89,15.98,15.94,34.28,,5.01,4.48,3.78,6.81,2.36,,4.62,0.38,,
e_0,30.69,,26.61,18.59,31.96,14.53,6.13,3.78,6.47,6.93,3.79,1.95,2.35,,0.37,2.37
g_0,17.65,14.82,11.98,14.25,12.52,17.83,2.39,4.17,3.22,,3.4,2.53,1.51,,2.88,
