,e_1,f_1,d_1,c_1,b_1,a_1,h_1,d_0,c_0,g_1,b_0,f_0,h_0,a_0,g_0,e_0
e_1,1.0,0.84,1.3,1.22,1.52,2.85,17.14,34.74,27.69,25.97,29.76,47.8,79.75,72.08,128.67,
f_1,1.18,1.0,0.86,1.08,1.32,3.57,14.06,19.98,24.67,21.14,32.28,,58.75,98.63,121.19,125.35
d_1,0.77,1.17,1.0,1.54,1.15,2.28,19.04,,30.29,16.51,36.73,54.98,75.36,75.96,67.64,82.23
c_1,0.82,0.93,0.65,1.0,1.69,2.98,16.35,15.6,,22.41,24.88,37.4,74.87,,92.8,92.38
b_1,0.66,0.76,0.87,0.59,1.0,2.45,12.43,17.97,16.96,17.85,,30.32,64.99,50.7,58.4,66.19
a_1,0.35,0.28,0.44,0.34,0.41,1.0,5.15,5.81,7.22,,,18.26,26.89,,31.47,
h_1,0.06,0.07,0.05,0.06,0.08,0.19,1.0,1.5,1.46,1.82,1.84,2.47,,3.97,7.08,6.92
d_0,0.03,0.05,,0.06,0.06,0.17,0.67,1.0,0.87,1.03,1.54,2.01,3.38,2.62,3.11,5.02
c_0,0.04,0.04,0.03,,0.06,0.14,0.69,1.15,1.0,1.15,2.07,1.89,2.11,3.31,3.65,4.14
g_1,0.04,0.05,0.06,0.04,0.06,,0.55,0.98,0.87,1.0,1.12,2.62,2.27,2.49,,5.02
b_0,0.03,0.03,0.03,0.04,,,0.54,0.65,0.48,0.89,1.0,1.66,3.73,3.85,2.92,3.32
f_0,0.02,,0.02,0.03,0.03,0.05,0.41,0.5,0.53,0.38,0.6,1.0,1.28,1.53,1.54,2.87
h_0,0.01,0.02,0.01,0.01,0.02,0.04,,0.3,0.47,0.44,0.27,0.78,,1.01,1.6,1.17
a_0,0.01,0.01,0.01,,0.02,,0.25,0.38,0.3,0.4,0.26,0.65,0.99,1.0,1.22,1.53
g_0,0.01,0.01,0.01,0.01,0.02,0.03,0.14,0.32,0.27,,0.34,0.65,0.62,0.82,,
e_0,,0.01,0.01,0.01,0.02,,0.14,0.2,0.24,0.2,0.3,0.35,0.86,0.65,,1.0
