,e_1,f_1,c_1,d_1,b_1,a_1,h_1,d_0,g_1,c_0,f_0,b_0,h_0,a_0,g_0,e_0
e_1,1.0,0.81,1.18,0.92,1.06,0.98,1.02,1.3,1.1,0.96,1.12,0.98,1.07,1.06,1.06,1.12
f_1,1.25,1.0,1.02,0.87,0.92,0.99,0.88,1.03,0.99,0.93,0.92,0.92,0.84,0.91,1.01,0.83
c_1,0.83,1.0,1.0,1.12,1.34,0.98,1.0,0.73,0.93,0.85,0.91,0.83,1.08,0.96,1.12,0.92
d_1,1.05,1.15,0.89,1.0,0.94,0.87,0.97,0.98,0.84,1.24,0.99,1.15,0.98,1.04,0.94,0.93
b_1,0.96,1.04,0.76,1.07,1.0,1.38,1.05,0.94,1.07,1.1,1.02,1.08,1.01,1.03,0.91,1.03
a_1,1.03,1.03,0.99,1.13,0.75,1.0,1.1,1.05,1.14,1.08,1.22,1.27,1.11,0.94,1.06,1.29
h_1,0.95,1.13,0.98,1.03,0.95,0.89,1.0,0.91,1.12,0.91,0.93,0.9,1.01,0.89,1.02,0.9
d_0,0.76,0.93,1.4,1.02,1.11,0.94,1.1,1.0,1.02,0.76,0.96,0.86,1.13,0.99,1.01,1.03
g_1,0.92,0.99,1.05,1.17,0.96,0.83,0.88,1.01,1.0,1.01,1.1,0.97,0.88,0.88,1.02,0.96
c_0,1.07,1.07,1.17,0.84,0.89,0.9,1.09,1.3,1.0,1.0,1.02,1.29,1.01,1.17,0.96,1.05
f_0,0.91,1.09,1.08,1.02,0.99,0.8,1.05,0.98,0.85,0.95,1.0,1.04,1.11,0.98,0.87,1.45
b_0,0.98,1.08,1.23,0.88,0.96,0.87,1.1,1.11,1.03,0.78,0.91,1.0,0.98,1.35,0.91,1.05
h_0,0.98,1.17,0.92,1.05,0.98,0.89,1.01,0.95,1.15,0.99,0.89,1.02,1.0,1.01,1.1,0.99
a_0,0.96,1.05,1.05,0.94,0.97,1.08,1.15,1.01,1.1,0.87,0.95,0.76,0.99,1.0,0.95,1.0
g_0,0.92,0.99,0.91,1.09,1.04,0.93,1.01,0.95,0.99,1.04,1.12,1.03,0.84,0.99,1.0,1.01
e_0,0.95,1.08,1.15,1.08,0.94,0.81,1.04,0.98,1.04,1.0,0.7,0.94,1.02,0.97,0.97,1.01
