,e_1,f_1,d_1,c_1,b_1,a_1,h_1,g_1,c_0,d_0,b_0,f_0,a_0,h_0,e_0,g_0
e_1,0.65,0.97,1.51,1.6,1.41,1.26,0.78,0.78,0.53,0.63,0.58,0.55,0.55,0.43,0.81,0.52
f_1,1.44,0.65,1.29,1.74,1.2,1.45,0.52,0.69,0.48,0.46,0.44,0.77,0.51,0.3,0.48,0.44
d_1,1.63,1.63,0.65,1.3,1.42,1.22,0.65,0.47,0.57,0.92,0.53,0.49,0.48,0.41,0.42,0.31
c_1,1.21,1.4,1.75,0.64,1.91,1.19,0.59,0.5,0.63,0.33,0.48,0.52,0.39,0.42,0.55,0.38
b_1,1.73,1.84,1.43,0.86,0.64,1.76,0.72,0.7,0.64,0.6,1.12,0.53,0.59,0.51,0.47,0.46
a_1,1.96,1.71,1.83,1.85,1.06,0.57,0.9,1.1,0.73,0.68,0.82,0.67,0.98,0.61,0.52,0.54
h_1,1.86,2.33,1.93,2.23,2.2,1.73,0.59,0.92,0.74,0.75,0.82,0.69,0.71,0.78,0.69,0.73
g_1,2.02,2.49,2.48,2.91,2.49,1.92,0.88,0.55,0.81,0.92,0.9,1.03,0.87,0.52,0.82,0.73
c_0,2.66,2.42,1.51,4.44,2.25,2.48,1.16,1.21,0.62,1.19,0.89,0.9,1.01,0.68,0.7,0.66
d_0,1.52,2.36,3.67,2.91,2.51,2.27,1.28,1.24,0.92,0.63,0.99,0.9,0.73,0.64,0.74,0.75
b_0,2.28,2.78,2.11,3.84,2.66,1.69,1.02,1.14,0.56,1.0,0.59,0.85,1.11,0.82,0.75,0.7
f_0,2.59,3.68,2.58,2.51,2.72,2.35,1.35,0.71,0.85,0.89,0.9,0.59,0.87,0.87,1.0,0.5
a_0,2.64,2.51,2.8,3.44,2.99,3.31,1.31,1.26,0.85,1.32,0.57,1.2,0.57,0.82,0.87,1.06
h_0,2.7,3.22,2.9,2.92,2.73,2.29,1.8,1.41,0.97,1.18,0.84,0.92,0.91,1.15,0.83,0.82
e_0,3.96,3.81,2.95,2.86,2.7,2.89,1.46,1.25,1.12,1.23,1.13,0.62,1.08,0.92,0.57,0.67
g_0,2.92,3.19,3.2,3.02,2.86,2.49,1.07,1.75,1.03,1.16,1.05,1.13,0.84,0.71,0.95,0.99
