,f_1,e_1,c_1,d_1,b_1,a_1,h_1,d_0,g_1,c_0,b_0,f_0,h_0,e_0,a_0,g_0
f_1,1.0,1.28,1.45,1.63,1.63,3.82,18.48,25.4,29.48,38.57,49.39,,89.29,92.6,124.24,113.08
e_1,0.78,1.0,1.02,1.21,1.75,3.24,19.17,37.24,41.23,37.5,47.7,67.35,115.78,,132.13,139.71
c_1,0.69,0.98,1.0,1.47,2.14,3.25,15.14,15.7,26.03,,39.13,40.43,79.08,62.58,69.38,120.87
d_1,0.61,0.83,0.68,1.0,0.95,1.79,12.22,,17.42,32.9,39.11,27.4,65.22,72.52,65.38,70.66
b_1,0.61,0.57,0.47,1.05,1.0,3.06,8.6,17.34,17.56,21.85,,31.81,51.06,58.28,46.57,77.08
a_1,0.26,0.31,0.31,0.56,0.33,1.0,5.87,9.25,9.56,,14.31,19.38,34.85,29.55,,
h_1,0.05,0.05,0.07,0.08,0.12,0.17,1.0,1.35,1.91,2.41,2.42,2.71,,4.85,4.81,7.96
d_0,0.04,0.03,0.06,,0.06,0.11,0.74,1.0,1.2,1.63,1.66,1.59,3.6,4.56,3.72,5.58
g_1,0.03,0.02,0.04,0.06,0.06,0.1,0.52,0.83,1.0,1.22,1.54,1.78,2.46,3.01,3.16,
c_0,0.03,0.03,,0.03,0.05,,0.42,0.61,0.82,1.0,1.94,1.88,2.27,2.47,2.72,3.77
b_0,0.02,0.02,0.03,0.03,,0.07,0.41,0.6,0.65,0.51,1.0,1.04,1.74,2.24,3.38,3.21
f_0,,0.01,0.02,0.04,0.03,0.05,0.37,0.63,0.56,0.53,0.96,1.0,1.5,2.93,,1.94
h_0,0.01,0.01,0.01,0.02,0.02,0.03,,0.28,0.41,0.44,0.58,0.67,,1.3,,2.22
e_0,0.01,,0.02,0.01,0.02,0.03,0.21,0.22,0.33,0.4,0.45,0.34,0.77,1.0,,1.17
a_0,0.01,0.01,0.01,0.02,0.02,,0.21,0.27,0.32,0.37,0.3,,,,1.0,
g_0,0.01,0.01,0.01,0.01,0.01,,0.13,0.18,,0.27,0.31,0.52,0.45,0.86,,
