,e_1,f_1,d_1,c_1,b_1,a_1,h_1,d_0,g_1,c_0,f_0,b_0,h_0,e_0,a_0,g_0
e_1,1.14,4.74,14.6,16.1,12.04,12.56,4.41,2.29,3.61,1.94,2.97,2.92,1.87,7.52,2.03,2.27
f_1,11.72,1.14,9.76,13.62,12.74,9.85,2.53,3.25,3.77,2.28,12.38,1.66,1.23,2.27,2.47,2.07
d_1,15.68,13.24,1.13,12.29,11.74,10.92,3.47,10.54,2.37,2.3,2.25,2.83,1.73,2.87,2.7,1.04
c_1,10.34,19.2,14.09,1.14,12.04,12.41,2.88,1.33,3.14,8.26,2.6,2.7,1.91,2.22,2.29,1.93
b_1,15.35,20.84,13.74,6.62,1.15,18.11,4.11,3.02,4.48,3.94,2.46,13.2,2.26,2.72,2.76,2.01
a_1,20.32,22.48,22.09,20.18,10.93,1.15,6.48,4.95,6.19,4.99,3.29,7.12,3.18,4.42,18.65,3.36
h_1,24.0,31.06,27.02,25.54,28.99,32.95,1.88,5.51,8.79,5.48,6.0,5.1,7.58,4.82,4.05,3.9
d_0,15.03,42.19,83.85,30.84,31.92,29.13,8.77,2.72,12.28,6.5,6.33,5.52,3.76,6.48,6.54,5.11
g_1,38.87,34.17,27.48,36.32,41.78,27.92,6.58,6.06,1.87,7.43,6.13,5.82,3.46,5.01,4.6,8.64
c_0,35.76,28.48,16.68,163.45,37.88,45.68,10.66,9.32,11.12,2.48,7.97,6.36,4.32,7.09,5.57,4.48
f_0,35.41,131.42,34.79,37.57,33.42,37.22,11.86,7.06,6.59,7.35,2.59,8.07,4.5,8.36,7.61,3.74
b_0,30.31,53.39,38.93,62.87,83.56,41.02,10.79,6.43,12.71,4.78,6.85,2.55,6.0,9.4,7.17,5.85
h_0,56.76,49.52,53.61,46.04,48.98,39.41,32.38,12.12,15.82,10.45,10.39,11.27,22.74,6.96,11.3,7.12
e_0,89.4,103.55,56.38,61.68,51.65,46.74,15.89,11.73,15.82,14.23,5.6,9.33,9.0,2.76,14.92,7.56
a_0,65.02,48.81,71.09,77.83,74.76,143.57,15.04,9.96,14.53,11.95,8.2,5.69,9.39,8.55,3.01,6.15
g_0,70.12,74.28,59.45,53.59,53.6,60.91,12.03,13.22,41.88,10.14,12.65,11.04,7.58,9.17,11.66,18.15
