,d_1,e_1,f_1,c_1,b_1,a_1,h_1,g_1,c_0,d_0,b_0,f_0,h_0,a_0,e_0,g_0
d_1,1.0,1.11,1.1,0.89,0.92,0.85,1.1,0.8,1.3,1.08,1.09,0.97,0.93,1.07,1.0,0.84
e_1,0.9,1.0,0.78,1.15,1.12,1.01,1.13,1.09,0.96,1.4,0.99,1.21,1.12,1.15,1.02,1.15
f_1,0.9,1.28,1.0,1.05,0.98,0.83,0.77,1.26,0.94,0.9,0.97,1.02,0.86,0.86,0.83,0.86
c_1,1.13,0.88,0.95,1.0,1.41,0.98,1.04,0.85,0.74,0.71,0.83,1.0,0.94,0.82,0.76,1.07
b_1,1.09,0.89,1.04,0.71,1.0,1.67,1.05,1.0,0.99,0.9,1.17,0.94,0.83,0.84,1.24,1.13
a_1,1.19,0.98,1.21,1.02,0.6,1.0,0.99,1.13,0.96,1.16,1.14,1.0,1.52,1.2,1.09,1.09
h_1,0.89,0.91,1.3,1.0,0.95,1.0,1.0,1.25,0.99,0.99,0.97,0.89,1.1,0.85,0.94,1.22
g_1,1.22,0.88,0.8,1.14,0.98,0.9,0.82,1.0,0.97,0.8,0.98,1.09,0.88,1.03,1.2,0.97
c_0,0.78,1.08,1.01,1.18,1.01,1.02,0.99,1.04,1.0,1.23,1.32,0.98,1.09,1.04,1.09,1.01
d_0,0.87,0.72,1.05,1.49,1.02,0.91,1.01,1.3,0.86,1.0,0.9,1.02,1.04,0.96,1.11,1.11
b_0,0.93,1.0,1.05,1.11,0.88,0.87,1.04,1.06,0.72,1.1,1.0,0.94,1.3,1.51,0.96,1.13
f_0,1.03,0.79,1.04,0.98,1.04,1.09,1.1,0.94,1.04,1.01,1.07,1.0,1.25,0.96,1.5,0.81
h_0,1.06,0.9,1.17,1.06,1.16,0.73,0.93,1.16,0.94,0.95,0.79,0.79,1.0,0.96,0.78,1.14
a_0,0.95,0.93,1.11,1.17,1.1,0.81,1.22,1.02,0.96,1.06,0.7,1.03,1.08,1.0,0.96,0.93
e_0,0.97,1.12,1.18,1.29,0.86,0.9,1.06,0.9,0.93,0.89,1.07,0.66,1.28,1.03,1.0,0.99
g_0,1.18,0.87,1.2,0.99,0.9,0.85,0.85,1.02,1.0,0.9,0.85,1.29,0.86,1.08,0.99,1.0
