,f_1,e_1,d_1,c_1,b_1,a_1,h_1,c_0,g_1,d_0,b_0,f_0,h_0,a_0,e_0,g_0
f_1,13595.06,9358.14,4414.69,8425.04,9062.76,34971.79,4590247.01,13800506.27,12462804.2,19870414.19,28444463.52,28982832.9,120539021.95,112410472.06,150900830.26,280704018.08
e_1,5595.56,14376.38,4793.47,11384.49,8606.16,35464.79,4745286.23,14365342.95,11945938.77,31829668.41,31161458.69,50704713.56,115619643.05,139242903.18,135894194.05,320572797.2
d_1,5125.52,4697.42,16060.92,6618.82,9566.57,41710.86,4431992.36,30184595.84,14663005.03,13446175.99,41500744.53,60309718.49,135505043.43,162812268.98,221173202.97,318441137.42
c_1,4533.89,4054.04,5416.97,29167.84,18925.06,30074.89,4070446.57,7008696.79,12753234.66,15142374.14,21695766.68,48919986.92,119494652.14,133465004.1,197416987.0,315101825.11
b_1,4597.57,4489.03,6055.53,7775.84,31996.67,76569.15,5012736.32,14760788.85,12215936.32,17403299.39,17562878.66,53182024.5,117552573.95,99864568.82,169798620.39,299450806.14
a_1,5456.86,4724.31,5965.32,10054.21,8629.19,168553.72,6152663.26,16368135.63,12584720.89,21610505.38,33043246.83,54164573.34,128881623.79,92364981.91,172349186.4,325716326.27
h_1,7429.46,5388.1,6428.78,9879.94,9334.71,40174.02,9671605.11,16386666.55,18190976.19,16783997.03,36265558.86,53203938.14,100206643.12,171348339.92,196176563.63,420150221.02
c_0,6464.12,5657.26,6932.01,7775.12,8728.12,36171.28,4884535.88,29250955.94,18312761.63,21937900.82,68393715.94,67326803.97,150939592.26,204106809.98,253606554.73,342350630.56
g_1,4138.08,5125.68,10047.25,10073.17,10625.35,37681.34,4488878.78,19211174.71,34499552.83,14906675.88,31496100.76,87560952.77,134283368.16,136414485.25,212416345.38,261317569.73
d_0,5376.49,5725.9,4776.09,18190.73,10270.2,33615.27,5456752.69,12931910.45,14061822.06,31088061.28,34678704.33,47191263.06,149778990.2,163699344.18,200022697.63,309587623.1
b_0,6200.09,5969.59,6721.48,11451.0,7919.84,27717.08,5446920.63,19505706.78,17119179.73,20066588.74,62790554.54,60794219.71,145069887.14,334011553.12,235609117.93,319668708.18
f_0,4286.27,4464.3,6851.74,11133.5,11923.63,41275.94,5552343.52,21119977.32,16455378.82,18548647.83,39393284.84,108735548.57,153119496.73,218518282.23,491212798.7,347914264.38
h_0,7168.78,5756.17,7051.44,10891.03,9572.62,31382.95,3887589.58,18309348.36,18644524.1,18584946.55,31741228.78,56702193.32,97816997.18,136431010.32,253965916.24,416488434.33
a_0,6404.96,5004.32,6556.45,12604.34,11871.08,20633.39,5290377.45,17257783.82,16028830.35,19386021.83,40478558.7,63545561.48,139793826.24,314682993.94,298568787.6,304946129.5
e_0,5631.67,3807.82,7032.43,11610.92,11355.09,33869.9,5789469.66,19480707.4,19263759.39,19636924.66,39934678.7,64660395.89,159585459.3,188722580.1,519112721.87,388198653.89
g_0,4596.35,4810.02,9275.65,10350.0,9638.33,36714.31,5003397.41,17934229.35,13605739.26,18815338.45,39442856.37,94763996.19,138355908.89,172997038.36,287122920.48,243620874.81
