,e_1,f_1,d_1,c_1,b_1,a_1,h_1,g_1,d_0,c_0,b_0,f_0,h_0,a_0,e_0,g_0
e_1,0.43,0.6,0.91,1.0,0.96,0.82,0.27,0.32,0.2,0.19,0.17,0.23,0.13,0.17,0.23,0.13
f_1,0.89,0.43,0.87,1.0,0.89,0.79,0.2,0.26,0.2,0.16,0.17,0.22,0.1,0.16,0.15,0.14
d_1,1.14,1.17,0.4,0.94,0.84,0.88,0.25,0.18,0.32,0.19,0.19,0.16,0.13,0.18,0.19,0.09
c_1,0.82,0.93,1.32,0.39,0.8,0.92,0.28,0.28,0.13,0.25,0.21,0.24,0.14,0.22,0.21,0.15
b_1,0.99,1.02,1.26,0.62,0.38,1.0,0.32,0.34,0.19,0.29,0.32,0.23,0.15,0.25,0.19,0.18
a_1,1.33,1.56,1.41,1.27,0.71,0.31,0.38,0.39,0.31,0.32,0.33,0.29,0.25,0.39,0.23,0.19
h_1,1.69,1.91,1.59,1.64,1.77,1.51,0.29,0.5,0.34,0.32,0.34,0.32,0.29,0.37,0.29,0.23
g_1,2.07,2.23,1.81,1.87,1.71,1.69,0.42,0.26,0.43,0.36,0.39,0.36,0.22,0.36,0.36,0.29
d_0,1.33,1.86,2.85,2.15,2.13,1.75,0.68,0.66,0.3,0.4,0.45,0.45,0.27,0.5,0.42,0.32
c_0,2.28,2.22,1.22,3.01,2.16,1.78,0.58,0.54,0.64,0.3,0.43,0.39,0.29,0.38,0.38,0.28
b_0,1.96,2.36,1.67,2.51,2.67,1.88,0.62,0.56,0.46,0.26,0.29,0.4,0.31,0.49,0.35,0.31
f_0,2.2,3.02,1.93,2.06,2.06,1.65,0.58,0.38,0.46,0.46,0.5,0.28,0.29,0.48,0.44,0.21
h_0,2.33,2.58,2.27,2.49,2.54,1.91,0.87,0.68,0.52,0.45,0.47,0.44,0.49,0.43,0.4,0.34
a_0,2.52,3.03,2.17,2.46,2.75,3.42,0.79,0.68,0.6,0.46,0.3,0.48,0.4,0.25,0.43,0.33
e_0,3.05,4.7,2.32,2.19,2.46,2.11,0.73,0.61,0.51,0.48,0.54,0.29,0.38,0.43,0.26,0.33
g_0,2.76,2.7,2.58,2.88,2.62,2.34,0.64,0.94,0.6,0.54,0.48,0.48,0.29,0.47,0.52,0.41
