,f_1,e_1,c_1,d_1,b_1,a_1,h_1,g_1,d_0,c_0,b_0,f_0,h_0,a_0,e_0,g_0
f_1,5.7,0.12,0.09,0.09,0.08,0.06,0.3,0.23,0.36,0.38,0.38,,0.76,0.4,0.29,0.5
e_1,0.09,5.86,0.07,0.06,0.09,0.06,0.33,0.25,0.65,0.39,0.45,0.31,0.45,0.37,,0.57
c_1,0.07,0.06,6.28,0.09,0.12,0.09,0.31,0.29,0.38,,0.44,0.42,0.64,0.25,0.43,0.57
d_1,0.1,0.07,0.07,6.33,0.09,0.08,0.27,0.26,,0.65,0.49,0.35,0.68,0.38,0.44,0.35
b_1,0.08,0.06,0.09,0.07,7.31,0.14,0.31,0.3,0.39,0.45,,0.39,0.43,0.48,0.37,0.64
a_1,0.06,0.11,0.05,0.1,0.06,10.8,0.35,0.28,0.41,0.42,0.37,0.38,0.49,,0.44,0.46
h_1,0.36,0.25,0.24,0.34,0.34,0.22,13.92,1.25,1.52,1.61,1.27,1.13,,1.37,1.52,3.53
g_1,0.21,0.15,0.29,0.42,0.32,0.22,1.09,18.02,1.29,1.16,1.58,3.12,1.67,1.69,1.67,
d_0,0.37,0.52,0.63,,0.33,0.29,1.47,1.35,12.11,1.92,1.44,2.81,3.55,1.29,1.43,3.48
c_0,0.4,0.42,,0.39,0.28,0.46,1.7,1.56,1.62,12.51,3.51,1.56,3.57,1.8,1.89,2.71
b_0,0.36,0.45,0.37,0.31,,0.35,1.22,1.71,1.71,1.96,13.81,1.95,3.31,3.53,2.29,3.08
f_0,,0.26,0.56,0.39,0.33,0.46,1.61,1.87,2.67,2.38,0.97,15.41,3.0,,3.28,2.47
h_0,0.78,0.69,0.65,0.47,0.45,0.49,,3.17,3.12,2.41,2.92,2.46,,2.87,2.27,6.26
a_0,0.42,0.4,0.41,0.38,0.56,,1.58,,1.47,1.71,2.49,1.59,2.74,20.82,,1.83
e_0,0.38,,0.34,0.36,0.44,0.44,1.52,1.28,2.34,2.42,1.95,2.14,3.18,,21.92,2.58
g_0,0.63,0.59,0.49,0.91,0.5,0.63,2.27,,3.05,2.39,1.66,3.0,5.01,2.5,3.32,
