,f_1,e_1,c_1,d_1,b_1,a_1,h_1,g_1,d_0,c_0,b_0,f_0,h_0,a_0,g_0,e_0
f_1,1.15,97.0,77.07,68.74,101.59,58.16,12.43,32.67,16.19,15.37,16.94,,7.6,21.11,11.57,23.07
e_1,42.58,1.15,86.95,107.7,101.59,71.58,21.26,20.79,23.45,16.69,18.1,21.67,13.69,21.11,13.88,
c_1,95.8,87.54,1.15,95.03,85.72,93.05,28.86,22.13,10.62,,27.63,17.93,9.78,14.85,16.52,17.94
d_1,119.75,115.77,135.64,1.15,109.72,132.93,23.09,16.33,,18.25,14.19,19.26,11.98,15.42,8.07,16.15
b_1,147.38,99.69,48.44,115.39,1.15,124.07,28.86,42.88,23.45,27.81,,34.67,15.97,33.42,15.77,17.94
a_1,153.28,143.56,154.14,170.05,72.18,1.15,50.5,45.73,40.0,53.09,,,34.21,,,
h_1,93.46,89.72,94.19,89.75,91.43,93.05,2.0,32.67,17.44,25.39,17.5,20.8,,16.04,13.35,26.92
g_1,100.84,138.04,125.59,119.67,144.37,116.31,31.08,2.0,28.33,26.55,18.1,26.0,11.4,33.42,,21.53
d_0,89.12,46.01,86.95,,78.37,84.59,24.48,27.44,3.04,18.25,21.0,15.76,15.97,21.11,23.13,11.96
c_0,112.71,85.45,,52.97,97.96,109.47,29.93,32.67,20.61,3.11,20.19,19.26,13.69,26.73,19.28,26.92
b_0,136.86,163.14,169.55,153.86,,,35.13,27.44,29.57,11.02,3.05,26.0,11.4,21.11,10.84,21.53
f_0,,115.77,102.76,190.06,195.93,,33.67,20.79,20.61,20.86,29.17,2.84,25.21,21.11,9.64,17.94
h_0,85.16,123.76,75.36,73.43,74.14,68.93,,21.44,12.83,18.25,19.44,12.09,,23.59,11.97,17.0
a_0,166.61,199.39,226.07,153.86,228.58,,47.53,40.35,27.2,30.74,21.87,32.5,16.52,2.84,19.28,
g_0,141.93,156.04,161.48,97.91,97.96,,26.06,,23.45,18.84,25.0,21.67,14.52,20.05,,19.0
e_0,212.89,,199.47,293.73,195.93,,62.15,62.36,42.5,30.74,26.25,20.8,26.61,,20.41,3.05
