,f_1,c_1,e_1,b_1,d_1,a_1,h_1,d_0,c_0,g_1,b_0,f_0,a_0,h_0,e_0,g_0
f_1,9278.89,219.04,351.58,246.46,279.13,1293.66,325665.04,411612.83,829435.1,642143.63,2135528.99,,5206650.94,8577246.14,8178220.18,12253842.29
c_1,140.49,14527.61,203.28,531.5,279.16,1476.63,208529.37,784313.47,,659855.2,1138054.8,2076178.25,3962044.23,9382457.0,9472205.08,16755253.74
e_1,140.61,175.18,16325.13,315.38,250.03,944.65,320168.19,981204.53,722314.51,544686.55,2268459.29,1593843.2,4308915.23,8536576.81,,11433506.48
b_1,150.44,198.14,192.54,22894.73,372.6,2088.79,294978.29,397656.69,662418.15,722638.36,,2842150.14,5694964.2,7135533.63,12102365.05,12232975.81
d_1,129.7,82.35,209.73,276.75,25936.23,1450.65,302413.09,,1426139.67,454070.67,1815750.8,2816659.17,8062695.16,9071073.4,10634914.38,13168368.0
a_1,150.24,154.17,154.99,217.3,434.29,182957.98,331617.52,506137.89,736062.9,423859.42,1391525.77,2583922.86,,7784670.42,13098558.06,18535887.87
h_1,585.64,873.54,760.65,653.64,1480.55,4946.13,14901161.19,2140635.66,2791471.5,2661815.07,7757833.8,6181676.56,18801009.03,,,79820167.13
d_0,664.47,2129.78,1169.28,1220.01,,7004.04,1505167.8,16174814.88,3492750.27,2423124.17,5336333.51,12416874.13,15933220.79,51598248.37,46882631.2,77401374.19
c_0,726.02,,871.09,1139.88,1106.54,9429.9,1423531.58,2456378.67,23549424.67,2474907.96,15828107.86,13715892.53,30100700.04,48209380.36,55623460.75,88552419.62
g_1,316.93,626.99,675.11,864.23,2050.77,5259.43,974842.32,2172766.41,2262127.04,36504892.39,7680330.47,13865442.76,19844935.32,37595592.88,,
b_0,512.88,674.74,1010.81,,1433.08,6064.21,1313129.15,3531191.39,4371959.81,3216906.23,66121465.75,11937030.6,60203907.21,35963089.49,51867278.77,110096782.25
f_0,,1072.03,932.51,1688.76,1542.4,7397.09,1474754.1,3081552.36,2709221.96,3010712.77,11860963.96,97887167.01,,40549839.93,89318662.33,82947142.75
a_0,817.47,725.51,1342.61,1210.12,1142.09,,1137493.22,2788817.96,3695383.1,2786633.01,5750476.44,,293927225.15,63690356.95,,68243196.32
h_0,1651.75,1681.51,1453.3,1901.76,1923.05,7595.08,,5634989.49,4622282.36,4129088.09,13731799.08,15255551.41,32751795.56,,64960766.62,128040576.58
e_0,697.02,942.81,,1563.37,1327.93,6867.99,,2210877.06,3682888.15,,9117552.07,11412325.96,,44961461.83,598100312.83,102018675.15
g_0,513.0,1255.39,1184.83,2214.92,2866.84,11373.13,2587626.79,4474709.27,6004602.4,,10456976.89,28428308.98,40688058.99,56205786.56,108082712.65,
