,c_1,f_1,d_1,e_1,b_1,a_1,h_1,g_1,d_0,c_0,f_0,b_0,h_0,e_0,a_0,g_0
c_1,1.0,0.92,0.9,1.08,1.35,0.47,0.63,0.52,0.31,,0.48,0.36,0.4,0.32,0.24,0.27
f_1,1.09,1.0,1.32,1.2,0.82,0.69,0.41,0.58,0.4,0.4,,0.38,0.29,0.26,0.28,0.34
d_1,1.11,0.76,1.0,0.93,1.08,0.76,0.52,0.39,,0.57,0.38,0.44,0.39,0.34,0.32,0.25
e_1,0.92,0.83,1.07,1.0,0.97,0.75,0.51,0.43,0.6,0.38,0.43,0.38,0.42,,,0.33
b_1,0.74,1.22,0.93,1.03,1.0,1.09,0.68,0.53,0.61,0.48,0.38,,0.3,0.36,0.44,0.29
a_1,2.11,1.45,1.32,1.33,0.92,1.0,0.52,0.57,0.56,0.62,0.47,0.54,0.46,,,0.44
h_1,1.59,2.44,1.94,1.97,1.47,1.94,1.0,1.16,0.94,0.87,0.79,0.8,,0.38,0.52,0.86
g_1,1.93,1.73,2.56,2.35,1.88,1.74,0.86,1.0,0.96,0.99,1.16,0.85,0.6,0.96,0.67,
d_0,3.19,2.49,,1.68,1.65,1.79,1.06,1.04,1.0,1.05,1.07,0.74,0.66,,0.76,0.72
c_0,,2.48,1.77,2.61,2.1,1.62,1.15,1.01,0.95,1.0,0.88,1.27,0.83,,0.84,0.8
f_0,2.09,,2.66,2.31,2.64,2.14,1.26,0.86,0.94,1.14,1.0,1.37,0.73,1.03,,0.73
b_0,2.79,2.61,2.25,2.61,,1.86,1.25,1.17,1.34,0.78,0.73,1.0,1.1,0.75,,0.93
h_0,2.48,3.39,2.56,2.39,3.36,2.18,,1.68,1.52,1.21,1.37,0.91,,0.93,1.17,0.92
e_0,3.12,3.91,2.9,,2.77,,2.6,1.04,,,0.97,1.34,1.07,1.0,,1.03
a_0,4.2,3.62,3.11,,2.28,,1.94,1.5,1.31,1.19,,,0.85,,1.0,1.07
g_0,3.66,2.95,3.95,2.99,3.43,2.29,1.16,,1.39,1.26,1.38,1.07,1.08,0.97,0.93,
