,f_1,e_1,d_1,c_1,b_1,a_1,h_1,g_1,d_0,c_0,b_0,f_0,h_0,a_0,e_0,g_0
f_1,0.41,0.74,0.68,0.66,0.63,0.57,0.27,0.38,0.29,0.3,0.29,0.35,0.21,0.29,0.26,0.3
e_1,0.46,0.41,0.67,0.71,0.79,0.66,0.42,0.42,0.39,0.34,0.33,0.4,0.26,0.31,0.38,0.28
d_1,0.74,0.71,0.39,0.67,0.65,0.64,0.32,0.26,0.39,0.31,0.31,0.28,0.23,0.27,0.28,0.18
c_1,0.63,0.59,0.78,0.38,0.78,0.64,0.38,0.33,0.19,0.35,0.26,0.29,0.25,0.28,0.29,0.24
b_1,0.76,0.64,0.72,0.42,0.35,0.89,0.42,0.38,0.32,0.37,0.48,0.31,0.29,0.29,0.34,0.29
a_1,0.79,0.74,0.69,0.69,0.38,0.3,0.39,0.39,0.35,0.36,0.43,0.3,0.3,0.46,0.36,0.27
h_1,0.71,0.55,0.64,0.69,0.55,0.52,0.24,0.4,0.3,0.29,0.29,0.27,0.3,0.27,0.32,0.26
g_1,0.69,0.6,0.6,0.74,0.62,0.6,0.25,0.22,0.29,0.24,0.29,0.32,0.21,0.27,0.26,0.24
d_0,0.69,0.43,0.73,0.82,0.62,0.61,0.36,0.39,0.24,0.27,0.29,0.29,0.26,0.31,0.3,0.26
c_0,0.7,0.62,0.43,0.88,0.65,0.57,0.39,0.35,0.41,0.23,0.35,0.31,0.26,0.34,0.28,0.26
b_0,0.68,0.59,0.54,0.96,0.66,0.56,0.33,0.32,0.3,0.17,0.22,0.28,0.25,0.37,0.28,0.24
f_0,0.79,0.53,0.6,0.73,0.65,0.57,0.35,0.26,0.32,0.26,0.27,0.21,0.26,0.27,0.32,0.17
h_0,0.7,0.56,0.58,0.66,0.69,0.61,0.37,0.33,0.3,0.25,0.27,0.25,0.27,0.25,0.24,0.25
a_0,0.64,0.57,0.63,0.71,0.78,0.59,0.37,0.33,0.29,0.23,0.17,0.28,0.25,0.2,0.3,0.23
e_0,0.78,0.68,0.58,0.7,0.63,0.56,0.34,0.33,0.26,0.28,0.26,0.16,0.25,0.23,0.18,0.2
g_0,0.61,0.57,0.63,0.7,0.62,0.64,0.28,0.38,0.28,0.26,0.3,0.3,0.2,0.26,0.27,0.28
