,f_1,e_1,d_1,c_1,b_1,a_1,h_1,g_1,c_0,d_0,f_0,b_0,h_0,e_0,a_0,g_0
f_1,0.91,0.58,0.29,0.3,0.21,0.16,0.27,0.23,0.26,0.27,0.15,0.27,0.28,0.11,0.16,0.19
e_1,0.37,0.91,0.29,0.36,0.24,0.15,0.3,0.24,0.24,0.49,0.29,0.29,0.28,0.13,0.18,0.22
d_1,0.36,0.29,0.92,0.22,0.29,0.17,0.28,0.23,0.54,0.15,0.28,0.3,0.27,0.21,0.17,0.21
c_1,0.35,0.3,0.3,0.9,0.49,0.18,0.28,0.24,0.14,0.26,0.23,0.19,0.24,0.15,0.15,0.21
b_1,0.4,0.29,0.34,0.25,0.9,0.3,0.28,0.22,0.28,0.24,0.27,0.18,0.28,0.17,0.15,0.2
a_1,0.4,0.27,0.35,0.29,0.29,0.88,0.35,0.19,0.33,0.23,0.21,0.28,0.27,0.23,0.13,0.22
h_1,0.5,0.34,0.37,0.3,0.31,0.17,0.62,0.32,0.25,0.23,0.28,0.25,0.21,0.18,0.22,0.34
g_1,0.33,0.31,0.52,0.28,0.29,0.17,0.32,0.6,0.31,0.25,0.44,0.29,0.28,0.21,0.19,0.2
c_0,0.39,0.4,0.38,0.26,0.21,0.18,0.33,0.3,0.5,0.32,0.32,0.58,0.33,0.23,0.27,0.27
d_0,0.37,0.37,0.26,0.61,0.3,0.16,0.31,0.25,0.18,0.47,0.25,0.27,0.3,0.21,0.18,0.27
f_0,0.25,0.28,0.46,0.35,0.33,0.19,0.31,0.3,0.35,0.3,0.51,0.32,0.35,0.44,0.24,0.28
b_0,0.4,0.36,0.38,0.33,0.23,0.15,0.34,0.31,0.31,0.31,0.3,0.49,0.35,0.25,0.44,0.28
h_0,0.47,0.41,0.41,0.35,0.23,0.17,0.24,0.38,0.32,0.29,0.26,0.29,0.21,0.17,0.2,0.31
e_0,0.47,0.28,0.4,0.29,0.29,0.22,0.37,0.28,0.33,0.24,0.23,0.32,0.35,0.46,0.23,0.3
a_0,0.39,0.35,0.41,0.31,0.25,0.12,0.33,0.29,0.36,0.27,0.34,0.32,0.37,0.22,0.44,0.32
g_0,0.3,0.33,0.56,0.35,0.26,0.17,0.29,0.25,0.33,0.24,0.45,0.33,0.33,0.26,0.23,0.19
