,f_1,e_1,c_1,d_1,b_1,a_1,h_1,d_0,g_1,c_0,b_0,f_0,h_0,a_0,e_0,g_0
f_1,1.76,1.29,0.74,0.79,0.68,0.65,0.99,0.97,0.78,0.86,1.02,0.73,0.99,0.93,0.69,0.98
e_1,0.86,1.79,1.0,0.64,0.86,0.77,0.94,1.5,0.91,0.9,0.91,0.93,0.86,0.86,0.77,0.98
c_1,0.79,0.7,1.91,0.76,1.37,0.87,0.96,0.86,0.91,0.58,0.61,0.94,0.91,1.0,1.0,0.89
d_1,0.91,0.75,0.68,2.09,0.68,0.71,0.95,0.72,1.07,1.78,1.3,0.94,1.09,1.1,1.07,1.0
b_1,0.81,0.76,0.82,0.74,2.12,1.48,0.95,0.88,0.86,0.81,0.62,1.07,0.97,0.81,0.99,0.91
a_1,0.81,0.79,0.86,0.99,0.71,2.96,1.03,0.96,1.15,0.96,1.04,1.06,1.16,0.68,1.0,1.01
h_1,1.16,0.87,0.86,1.03,0.72,0.64,1.74,0.88,1.23,0.98,1.03,1.05,0.96,1.03,1.03,1.33
d_0,0.87,0.83,1.36,0.65,0.92,0.82,0.99,1.35,1.0,0.72,1.06,0.92,0.9,1.05,1.05,1.02
g_1,0.78,0.74,0.93,1.29,0.78,0.65,0.89,0.9,2.12,1.11,1.12,1.61,0.92,0.94,1.33,0.87
c_0,0.93,0.87,0.78,1.0,0.66,0.78,1.0,1.08,1.15,1.62,1.95,1.04,1.27,1.47,1.21,1.21
b_0,0.93,0.91,0.95,1.01,0.59,0.55,1.07,1.09,1.24,1.14,1.96,1.24,1.17,2.18,1.1,1.16
f_0,0.76,0.75,0.93,1.09,0.88,0.73,1.0,1.05,1.08,1.07,1.15,1.84,1.25,1.11,2.15,1.16
h_0,1.08,0.88,0.82,1.0,0.84,0.74,0.88,0.85,1.26,1.01,1.01,1.15,0.81,1.1,1.09,1.35
a_0,0.9,0.91,0.99,1.04,0.77,0.59,1.16,1.01,1.11,0.99,1.24,1.16,1.1,1.97,1.4,0.95
e_0,0.89,0.57,0.92,1.05,0.83,0.83,1.17,0.98,1.1,1.12,1.35,1.2,1.26,1.26,2.15,1.33
g_0,0.89,0.75,0.86,1.35,0.84,0.82,0.95,0.81,0.83,1.01,1.01,1.52,1.17,1.2,1.18,1.0
