,e_1,f_1,d_1,c_1,b_1,a_1,h_1,d_0,g_1,c_0,b_0,f_0,h_0,e_0,a_0,g_0
e_1,22.11,0.33,0.27,0.41,0.36,0.34,0.67,1.82,0.73,0.66,0.82,0.82,0.94,0.31,0.87,0.87
f_1,0.6,24.02,0.3,0.35,0.36,0.34,0.71,0.65,0.56,0.71,0.9,0.14,0.86,0.72,0.89,0.73
d_1,0.3,0.32,28.9,0.27,0.34,0.29,0.78,0.18,0.73,1.85,1.01,0.97,0.93,1.0,0.74,0.71
c_1,0.26,0.31,0.37,28.49,0.66,0.42,0.82,0.57,0.71,0.13,0.7,0.82,0.82,0.64,0.87,1.04
b_1,0.36,0.3,0.33,0.31,31.86,0.77,0.72,0.81,0.75,0.47,0.12,1.0,1.09,0.73,0.5,0.93
a_1,0.28,0.42,0.39,0.32,0.26,48.8,0.69,0.84,0.59,1.18,0.81,0.75,0.89,0.87,0.15,0.99
h_1,0.5,1.04,0.71,0.69,0.67,0.56,9.89,1.48,1.62,1.27,1.48,1.04,0.39,1.13,1.21,1.61
d_0,0.66,0.67,0.16,1.57,0.67,0.48,1.24,5.27,1.32,1.21,1.2,1.81,1.25,1.25,1.49,1.42
g_1,0.54,0.5,1.19,0.62,0.62,0.6,0.98,1.13,12.47,1.27,1.25,2.71,1.5,1.8,1.99,0.44
c_0,0.63,0.87,0.98,0.29,0.45,0.47,1.62,1.1,1.43,6.06,3.36,1.5,1.62,1.9,1.67,1.88
b_0,0.97,0.76,0.82,0.58,0.12,0.42,1.37,1.4,1.41,1.67,6.67,1.62,1.78,1.95,4.06,1.52
f_0,0.82,0.31,0.64,0.58,0.62,0.74,1.6,1.53,1.9,1.85,1.87,7.12,1.72,3.84,0.95,2.0
h_0,0.67,0.98,0.78,0.62,0.41,0.49,0.59,1.51,1.87,1.48,1.57,1.31,0.73,1.76,1.25,2.58
e_0,0.16,1.1,0.68,0.89,0.59,0.52,1.95,1.52,1.36,1.92,1.56,2.03,1.61,9.95,1.56,1.63
a_0,0.6,0.89,0.89,0.78,0.36,,1.56,1.33,2.14,1.32,1.84,1.18,1.71,2.25,10.04,1.62
g_0,0.43,0.56,1.11,0.97,0.69,0.41,1.3,1.23,0.56,1.48,1.06,2.32,1.35,1.56,1.12,0.58
