,e_1,d_1,f_1,c_1,b_1,a_1,h_1,d_0,g_1,c_0,b_0,f_0,h_0,a_0,e_0,g_0
e_1,1.15,96.89,56.88,83.89,95.52,61.74,23.57,15.17,27.23,21.52,14.68,14.92,11.36,16.04,,15.95
d_1,159.57,1.15,94.81,91.09,79.14,95.7,22.36,,13.88,14.5,18.0,18.52,9.98,19.25,21.0,8.36
f_1,101.94,81.12,1.15,106.27,86.56,91.14,16.15,17.82,29.5,14.19,20.67,,10.76,22.65,16.23,13.0
c_1,91.75,120.28,100.38,1.15,110.8,73.62,25.65,11.14,23.6,,18.6,20.65,14.61,14.81,29.75,15.26
b_1,107.94,105.7,113.77,56.93,1.15,147.23,32.3,24.59,33.71,23.0,,21.48,17.78,32.08,27.46,14.63
a_1,282.31,218.0,170.65,144.91,92.33,1.15,41.52,28.52,39.33,37.06,,31.59,16.36,,,23.4
h_1,76.46,94.27,110.1,83.89,95.52,112.59,2.0,15.5,32.18,20.84,15.08,19.89,,19.25,15.52,12.1
d_0,49.59,,77.57,83.89,95.52,136.71,24.91,2.95,25.29,19.62,20.67,18.52,10.76,15.4,11.52,14.04
g_1,126.55,120.28,155.14,118.07,95.52,100.74,23.57,28.52,2.0,19.62,29.37,23.35,12.78,25.67,25.5,
c_0,89.51,56.26,100.38,,89.35,95.7,28.13,22.28,28.32,3.03,16.91,14.51,22.72,14.81,17.0,9.75
b_0,111.21,129.19,92.24,151.81,,,24.91,20.37,35.4,14.82,3.05,20.65,17.04,32.08,18.79,14.04
f_0,101.94,85.07,,138.61,106.54,159.5,31.14,31.0,19.14,19.06,21.46,3.05,19.48,22.65,27.46,15.26
h_0,104.86,120.28,97.51,122.62,98.93,79.75,,16.58,37.26,16.67,18.0,25.57,,12.83,21.0,11.32
a_0,152.92,158.55,131.27,187.53,251.82,,45.89,33.95,44.25,44.47,16.91,28.26,18.59,3.21,,
e_0,,145.33,170.65,177.11,173.12,,45.89,47.53,41.65,47.64,50.73,19.18,22.72,,2.93,20.65
g_0,146.8,94.27,117.69,83.89,145.79,147.23,43.6,27.42,,24.7,25.36,29.83,9.09,,21.0,
