,e_1,d_1,f_1,c_1,b_1,a_1,h_1,g_1,c_0,d_0,f_0,b_0,h_0,a_0,e_0,g_0
e_1,1.0,0.88,0.79,1.29,1.04,0.97,1.1,1.02,0.95,1.42,1.17,1.05,1.12,1.02,1.0,1.08
d_1,1.11,1.0,1.01,0.94,1.0,0.92,1.04,0.81,1.27,0.94,1.03,0.97,1.02,1.08,1.03,0.84
f_1,1.27,0.97,1.0,0.93,0.93,0.88,0.88,1.07,0.92,0.97,0.89,0.94,0.8,0.99,0.77,1.09
c_1,0.77,1.11,1.05,1.0,1.33,0.93,0.96,1.06,0.98,0.69,0.98,0.8,1.01,0.86,0.99,0.96
b_1,0.97,1.0,1.08,0.74,1.0,1.42,1.06,1.11,0.97,0.97,0.93,0.91,1.11,0.91,1.08,1.03
a_1,1.04,1.09,1.14,1.08,0.68,1.0,1.02,1.09,0.97,1.17,1.04,1.42,0.98,1.19,1.11,0.97
h_1,0.92,0.99,1.15,1.02,0.93,0.94,1.0,1.07,0.92,0.94,0.98,1.04,1.04,0.87,0.91,1.18
g_1,0.96,1.2,0.95,0.96,0.91,0.96,0.9,1.0,0.99,0.96,1.11,1.1,0.81,0.93,1.01,1.07
c_0,1.03,0.82,1.06,1.04,1.1,1.0,1.07,0.98,1.0,1.25,0.99,1.42,1.04,1.19,0.96,1.08
d_0,0.71,1.11,1.01,1.46,1.04,0.89,1.04,1.01,0.79,1.0,1.0,1.03,1.05,0.95,0.99,1.13
f_0,0.85,0.95,1.18,0.97,1.12,0.91,1.04,0.9,0.99,1.01,1.0,1.01,1.12,0.95,1.44,0.87
b_0,0.92,1.01,1.07,1.35,1.04,0.74,0.98,0.92,0.69,0.95,0.95,1.0,1.09,1.43,0.97,0.97
h_0,0.89,1.02,1.24,1.03,0.91,0.96,0.95,1.29,0.96,1.02,0.91,0.93,1.0,0.94,0.88,1.21
a_0,1.02,0.93,1.04,1.11,1.08,0.87,1.12,1.07,0.89,0.99,1.01,0.74,1.16,1.01,1.05,1.2
e_0,1.0,0.99,1.29,0.98,0.91,0.9,1.08,1.01,1.02,0.94,0.71,1.09,1.13,1.0,1.0,1.05
g_0,0.91,1.16,0.97,1.02,0.96,1.02,0.85,0.96,0.94,0.91,1.16,1.02,0.87,0.81,0.99,1.0
