,e_1,d_1,f_1,c_1,b_1,a_1,h_1,g_1,d_0,c_0,b_0,f_0,h_0,a_0,e_0,g_0
e_1,1.0,0.96,0.85,1.39,1.51,3.0,19.5,22.01,41.04,27.06,35.68,46.41,93.4,91.43,125.9,139.97
d_1,1.05,1.0,1.12,1.06,1.28,2.45,21.11,16.36,25.98,33.35,30.85,36.92,61.04,87.23,90.9,104.54
f_1,1.18,0.89,1.0,1.14,1.31,2.8,13.28,19.21,21.81,23.84,27.65,41.08,63.46,84.93,82.8,130.23
c_1,0.72,0.95,0.88,1.0,1.58,2.0,14.68,16.69,15.66,17.96,19.55,27.03,61.01,60.78,78.03,85.14
b_1,0.66,0.78,0.76,0.63,1.0,3.21,17.07,15.94,20.08,20.65,19.35,28.83,52.85,47.06,72.33,91.57
a_1,0.34,0.41,0.36,0.51,0.31,1.0,5.93,9.02,9.54,9.58,12.67,15.24,33.19,25.14,40.25,49.68
h_1,0.05,0.05,0.07,0.07,0.06,0.16,1.0,1.2,1.43,1.35,1.69,2.06,4.17,3.84,4.68,7.49
g_1,0.04,0.06,0.05,0.06,0.06,0.11,0.84,1.0,1.14,1.39,1.51,2.37,3.23,3.24,5.49,6.77
d_0,0.02,0.04,0.04,0.06,0.05,0.1,0.68,0.92,1.0,0.95,1.25,1.54,2.97,2.93,3.98,4.53
c_0,0.04,0.03,0.04,0.06,0.05,0.12,0.75,0.76,1.07,1.0,1.64,1.69,3.13,3.2,3.99,4.34
b_0,0.03,0.03,0.04,0.05,0.05,0.09,0.59,0.7,0.81,0.57,1.0,1.34,2.36,3.3,3.12,3.56
f_0,0.02,0.03,0.02,0.04,0.03,0.06,0.51,0.41,0.69,0.6,0.75,1.0,2.16,1.71,3.51,2.32
h_0,0.01,0.02,0.02,0.02,0.02,0.03,0.24,0.31,0.34,0.32,0.4,0.45,1.0,1.0,1.19,1.83
a_0,0.01,0.01,0.01,0.02,0.02,0.04,0.26,0.32,0.33,0.29,0.31,0.57,1.06,1.0,1.29,1.45
e_0,0.01,0.01,0.01,0.01,0.01,0.02,0.21,0.18,0.27,0.26,0.33,0.28,0.83,0.8,1.0,1.25
g_0,0.01,0.01,0.01,0.01,0.01,0.02,0.13,0.15,0.22,0.22,0.28,0.42,0.54,0.67,0.76,1.0
