,e_1,f_1,c_1,d_1,b_1,a_1,h_1,d_0,g_1,c_0,b_0,f_0,h_0,a_0,e_0,g_0
e_1,1.13,2.61,6.45,5.55,5.78,5.21,1.53,1.36,1.72,1.16,0.93,1.34,0.76,0.95,2.82,0.69
f_1,4.5,1.13,5.61,4.18,5.62,5.24,0.9,1.02,1.45,0.92,0.98,1.97,0.49,0.98,0.93,1.14
c_1,5.04,6.21,1.13,8.1,4.8,5.52,1.84,0.63,1.92,3.01,1.38,1.15,0.84,0.99,1.05,1.03
d_1,6.47,7.4,6.81,1.12,5.38,4.65,1.75,3.77,1.03,1.08,1.12,1.18,0.96,1.18,1.2,0.51
b_1,7.59,7.57,3.34,6.95,1.14,7.28,2.1,1.3,1.87,2.36,4.24,1.31,1.1,1.89,1.15,0.87
a_1,9.05,12.12,7.58,9.59,4.65,1.14,3.08,2.25,3.29,2.07,2.01,1.82,1.48,4.16,1.93,1.52
h_1,16.21,20.15,18.47,16.04,21.81,17.88,1.82,3.9,5.13,3.52,3.07,4.01,5.48,3.76,3.65,2.57
d_0,11.72,22.07,20.0,53.09,23.85,24.12,6.54,2.31,5.88,5.99,4.99,4.19,3.76,4.77,5.15,3.81
g_1,21.93,22.75,20.13,19.74,27.32,18.19,5.47,5.6,1.85,4.92,4.31,4.53,2.63,5.28,3.89,5.18
c_0,22.59,27.26,46.18,10.8,30.92,19.94,6.23,6.25,5.88,2.19,4.37,4.73,3.52,4.44,5.0,3.19
b_0,25.19,28.31,39.25,22.98,62.53,20.53,7.73,6.2,6.56,2.58,2.39,4.19,3.06,5.51,3.98,3.95
f_0,24.53,65.05,27.3,23.68,27.59,25.6,7.58,5.07,5.13,4.95,4.44,2.28,3.86,4.65,4.32,2.11
h_0,33.89,32.81,35.68,28.78,27.59,31.42,18.27,6.8,9.61,6.34,7.23,7.47,8.22,5.01,5.56,3.76
a_0,42.36,34.98,42.43,28.25,57.43,66.9,8.2,8.16,11.37,7.09,3.71,5.95,5.1,2.64,7.14,6.2
e_0,71.69,52.97,42.43,37.1,46.9,46.09,12.37,7.31,8.97,7.24,8.95,3.71,5.69,6.21,2.57,5.36
g_0,44.38,43.12,48.31,49.66,48.52,44.13,11.01,10.52,20.67,9.15,7.52,10.05,5.22,9.31,8.97,10.53
