,f_1,e_1,d_1,c_1,b_1,a_1,h_1,c_0,d_0,g_1,b_0,f_0,a_0,h_0,e_0,g_0
f_1,6.05,2.51,1.04,1.17,1.27,1.02,4.71,5.72,5.4,4.72,6.62,2.47,5.73,7.19,3.81,7.31
e_1,1.4,6.1,1.11,1.48,1.17,1.23,4.9,5.65,11.68,4.94,6.58,6.77,6.71,10.25,2.59,8.78
d_1,1.51,1.08,6.78,0.95,1.28,1.15,4.83,12.52,1.99,4.38,7.8,6.94,8.75,10.37,7.39,11.15
c_1,1.19,1.18,1.19,6.88,2.54,1.03,4.19,2.15,5.74,4.22,4.32,7.44,5.76,6.85,6.4,6.41
b_1,1.32,1.17,1.49,1.26,7.3,2.49,3.69,5.08,6.21,4.58,2.1,5.15,4.26,9.43,6.59,10.08
a_1,1.58,0.9,1.51,1.45,1.12,9.94,5.41,5.81,5.82,4.77,6.17,5.77,2.59,11.43,7.68,10.42
h_1,2.19,1.55,1.57,1.65,1.24,1.35,15.89,7.22,7.27,6.85,8.44,7.8,8.54,6.0,8.2,15.5
c_0,1.71,1.67,2.11,1.0,1.21,1.54,6.08,14.48,6.18,6.43,14.18,6.97,9.74,11.54,8.52,13.05
d_0,1.53,1.58,0.88,3.25,1.58,1.4,5.46,4.9,14.27,5.6,6.82,7.88,6.65,11.57,8.1,9.7
g_1,1.22,1.17,2.61,1.74,1.38,1.35,5.46,6.52,5.99,19.07,6.61,12.19,8.54,12.78,7.99,7.21
b_0,1.51,1.72,1.83,1.67,0.69,1.47,6.35,7.78,6.97,6.56,15.98,8.41,16.53,12.09,7.67,12.86
f_0,0.95,1.34,1.67,1.91,1.81,1.73,6.94,7.03,6.53,5.67,6.38,18.9,6.55,11.41,18.97,12.54
a_0,1.98,1.59,2.03,1.49,1.4,0.97,6.96,7.73,8.47,5.51,7.33,6.35,20.96,13.82,7.52,12.11
h_0,2.09,1.67,1.7,1.52,1.38,1.88,2.96,7.89,8.25,7.29,8.24,7.04,7.32,6.68,9.33,14.08
e_0,1.83,0.68,1.51,1.84,1.84,1.82,6.87,8.87,6.94,6.82,9.2,7.48,9.11,15.24,25.39,15.86
g_0,1.37,1.44,2.66,1.71,1.24,1.55,6.1,8.47,6.43,3.19,6.92,12.03,6.63,10.16,8.58,6.2
