,f_1,e_1,d_1,c_1,b_1,a_1,h_1,c_0,g_1,d_0,b_0,f_0,h_0,a_0,e_0,g_0
f_1,2.46,2.11,1.42,1.47,1.39,1.26,2.48,2.63,2.95,2.99,3.12,2.3,3.73,2.92,2.53,3.59
e_1,1.41,2.49,1.28,1.73,1.55,1.54,3.02,3.11,3.06,5.36,3.2,3.37,4.05,3.53,2.77,4.24
d_1,1.55,1.56,2.57,1.19,1.44,1.41,3.06,4.96,2.58,2.88,3.93,3.94,4.23,3.51,3.77,3.71
c_1,1.4,1.32,1.57,2.61,2.33,1.27,2.66,1.88,2.81,2.52,2.53,3.33,3.78,3.36,3.23,3.85
b_1,1.47,1.29,1.69,1.27,2.67,2.66,3.1,2.92,2.75,3.04,2.76,2.99,4.12,2.61,3.36,4.47
a_1,1.62,1.36,1.62,1.81,1.07,3.29,3.27,3.47,3.04,3.2,3.8,3.39,4.09,2.98,3.21,4.26
h_1,1.92,1.47,1.67,1.48,1.46,1.34,4.2,3.08,3.58,3.5,3.59,3.5,3.6,2.95,3.1,5.14
c_0,1.8,1.56,1.48,1.69,1.34,1.44,3.09,4.39,2.66,3.41,5.66,3.53,4.32,4.15,3.9,3.94
g_1,1.41,1.37,2.14,1.54,1.5,1.55,2.74,3.65,4.7,3.16,3.02,4.66,4.15,3.9,3.74,3.51
d_0,1.71,1.31,1.12,2.62,1.5,1.54,2.49,2.74,2.86,4.3,3.21,3.11,4.11,3.68,3.05,4.03
b_0,1.72,1.57,1.56,1.78,1.4,1.05,2.39,2.99,3.65,3.85,4.66,3.24,4.78,6.17,3.75,4.62
f_0,1.47,1.37,1.56,1.75,1.82,1.56,3.0,3.29,2.82,3.42,3.73,4.59,4.78,3.9,6.27,3.56
h_0,1.9,1.45,1.54,1.67,1.45,1.52,2.52,3.32,3.61,3.42,3.4,2.93,3.62,3.4,3.33,5.37
a_0,1.79,1.5,1.58,1.69,1.82,1.12,3.58,3.25,2.93,3.58,2.85,3.49,4.67,5.2,3.57,4.54
e_0,1.67,1.31,1.52,1.7,1.82,1.48,3.28,3.11,3.22,3.47,3.41,2.69,4.36,3.61,5.49,4.65
g_0,1.55,1.37,2.18,1.68,1.41,1.36,2.73,3.38,2.72,3.0,3.03,4.9,3.38,3.27,3.59,3.71
