,f_1,e_1,d_1,c_1,b_1,a_1,h_1,g_1,d_0,c_0,b_0,f_0,a_0,h_0,g_0,e_0
f_1,36.57,0.11,0.08,0.08,0.07,0.06,0.25,0.3,0.36,0.36,0.45,,0.26,0.57,0.59,0.26
e_1,0.08,36.83,0.06,0.05,0.07,0.07,0.27,0.23,0.77,0.4,0.39,0.45,0.41,0.47,0.45,
d_1,0.06,0.05,39.21,0.07,0.06,0.07,0.29,0.24,,0.71,0.42,0.41,0.3,0.79,0.45,0.51
c_1,0.06,0.08,0.07,41.98,0.14,0.07,0.23,0.32,0.3,,0.35,0.33,0.45,0.67,0.64,0.29
b_1,0.05,0.06,0.07,0.07,50.17,0.15,0.32,0.24,0.36,0.27,,0.5,0.39,0.73,0.61,0.32
a_1,0.07,0.07,0.09,0.05,0.06,68.89,0.41,0.37,0.33,0.39,0.32,0.33,,0.55,0.45,
h_1,0.36,0.23,0.24,0.3,0.21,0.21,28.2,1.34,2.03,1.51,1.42,1.58,0.97,,3.32,1.17
g_1,0.24,0.26,0.57,0.29,0.26,0.19,1.21,34.29,0.81,1.55,1.07,1.84,0.92,2.24,,
d_0,0.26,0.33,,0.7,0.31,0.38,1.84,1.42,17.28,2.36,1.74,2.49,2.04,3.2,2.77,1.94
c_0,0.4,0.39,0.31,,0.32,0.27,1.57,1.73,2.05,18.8,4.21,1.62,2.06,2.94,2.43,
b_0,0.35,0.34,0.32,0.35,,0.39,1.71,1.27,2.32,1.48,20.98,1.51,3.6,3.31,3.38,2.14
f_0,,0.33,0.27,0.42,0.47,0.43,1.59,1.47,2.19,2.04,1.61,22.54,1.41,3.18,2.94,5.11
a_0,0.33,0.28,0.32,0.19,0.27,,1.55,1.61,2.16,1.79,1.97,2.15,31.58,4.0,3.22,1.94
h_0,1.0,0.42,0.4,0.61,0.62,0.34,,3.33,2.09,2.3,2.66,3.73,3.55,,6.82,3.46
g_0,0.45,0.57,0.89,0.49,0.5,0.61,2.44,,3.76,2.86,2.15,4.7,2.12,3.48,,3.01
e_0,0.39,,0.31,0.4,0.4,0.37,1.36,,2.34,2.87,2.45,,,2.72,2.77,39.58
