,e_1,f_1,d_1,c_1,b_1,a_1,h_1,g_1,d_0,c_0,f_0,b_0,h_0,e_0,g_0,a_0
e_1,0.65,0.72,1.0,1.42,1.16,0.95,0.51,0.54,0.5,0.39,0.5,0.4,0.32,0.48,0.36,0.41
f_1,1.25,0.65,0.99,1.06,1.05,0.86,0.4,0.56,0.42,0.38,0.47,0.38,0.26,0.34,0.33,0.33
d_1,1.3,1.21,0.64,1.05,0.98,0.99,0.46,0.36,0.6,0.41,0.36,0.4,0.31,0.38,0.24,0.35
c_1,0.86,1.23,1.37,0.64,1.2,1.08,0.49,0.44,0.25,0.39,0.37,0.36,0.33,0.36,0.32,0.35
b_1,1.1,1.15,1.27,0.79,0.63,1.24,0.55,0.55,0.43,0.55,0.42,0.51,0.4,0.44,0.38,0.42
a_1,1.46,1.65,1.43,1.22,0.83,0.57,0.66,0.65,0.52,0.57,0.5,0.54,0.42,0.43,0.41,0.57
h_1,1.7,1.92,1.58,1.86,1.74,1.39,0.55,0.84,0.65,0.63,0.61,0.64,0.58,0.51,0.52,0.53
g_1,1.72,1.91,2.04,1.96,1.76,1.6,0.67,0.53,0.63,0.63,0.84,0.68,0.45,0.6,0.6,0.55
d_0,1.28,2.04,2.29,2.25,1.96,1.73,0.93,0.94,0.58,0.62,0.75,0.7,0.54,0.74,0.64,0.65
c_0,2.01,1.99,1.38,2.85,2.0,1.59,0.87,0.86,0.98,0.57,0.8,0.85,0.67,0.7,0.54,0.7
f_0,1.76,2.33,2.0,2.08,2.3,1.74,0.88,0.6,0.7,0.65,0.55,0.71,0.56,0.82,0.4,0.66
b_0,1.92,2.0,1.67,2.61,2.83,1.68,0.88,0.85,0.85,0.46,0.82,0.55,0.66,0.68,0.59,0.73
h_0,2.18,2.42,2.35,2.34,1.95,1.87,1.1,1.01,0.8,0.73,0.89,0.7,0.75,0.78,0.72,0.65
e_0,2.45,3.31,2.11,2.27,2.2,2.01,1.19,0.87,0.93,0.79,0.48,0.76,0.73,0.52,0.58,0.62
g_0,2.29,2.67,2.22,2.6,2.41,1.87,0.85,1.01,0.86,0.82,0.9,0.83,0.57,0.87,0.7,0.76
a_0,2.18,2.5,2.22,2.47,2.85,2.69,1.09,1.09,0.88,0.79,0.81,0.55,0.71,0.9,0.71,0.53
