,f_1,e_1,d_1,c_1,b_1,a_1,h_1,g_1,d_0,c_0,f_0,b_0,h_0,a_0,e_0,g_0
f_1,1.0,1.23,0.9,1.01,0.93,0.86,0.84,1.0,1.02,0.92,0.94,0.98,0.86,1.0,0.83,1.06
e_1,0.8,1.0,0.94,1.17,1.07,0.98,1.04,1.07,1.38,0.97,1.21,1.14,1.06,1.09,1.15,1.13
d_1,1.09,1.08,1.0,0.9,0.94,0.84,0.97,0.84,1.16,1.29,0.98,1.02,1.04,0.98,1.04,0.87
c_1,0.97,0.87,1.1,1.0,1.4,1.0,0.98,0.97,0.68,0.78,0.96,0.77,0.94,0.96,1.02,0.92
b_1,1.08,0.92,1.06,0.73,1.0,1.49,1.11,1.09,0.95,1.04,0.9,0.98,1.13,0.84,1.0,0.98
a_1,1.16,1.05,1.17,1.01,0.66,1.0,1.09,1.14,0.86,1.12,1.07,1.3,1.15,0.92,0.96,1.07
h_1,1.17,0.97,1.01,1.03,0.89,0.92,1.0,1.12,1.0,0.81,0.9,0.91,0.98,0.85,0.87,1.22
g_1,1.01,0.95,1.18,1.06,0.9,0.86,0.9,1.0,0.9,1.01,1.16,0.93,0.81,1.05,1.0,0.96
d_0,0.97,0.75,0.88,1.5,1.06,1.22,1.0,1.1,1.0,0.8,1.03,0.89,0.97,1.04,0.87,1.1
c_0,1.11,1.0,0.81,1.22,0.94,0.93,1.23,1.01,1.25,1.0,0.94,1.5,1.03,1.17,1.06,1.02
f_0,1.05,0.84,0.97,0.98,1.11,0.94,1.16,0.88,0.96,1.02,1.0,0.89,1.02,0.94,1.38,0.89
b_0,1.05,0.87,0.94,1.35,1.04,0.75,1.07,1.03,1.07,0.68,1.06,1.0,1.06,1.58,1.0,1.09
h_0,1.12,0.94,0.96,1.04,0.88,0.86,1.07,1.25,1.0,0.93,0.99,0.97,1.0,1.03,0.89,1.11
a_0,0.99,0.91,1.01,1.09,1.2,0.98,1.15,0.91,0.94,0.87,1.02,0.69,0.97,1.0,1.08,1.02
e_0,1.16,0.93,1.0,1.0,0.99,1.05,1.18,0.95,1.15,0.91,0.71,1.03,1.17,0.96,1.0,0.87
g_0,0.96,0.88,1.12,1.07,0.99,0.98,0.84,1.02,0.9,1.01,1.13,0.92,0.91,0.97,1.13,1.0
