,f_1,e_1,c_1,d_1,b_1,a_1,h_1,g_1,d_0,c_0,b_0,f_0,h_0,a_0,g_0,e_0
f_1,91.85,63.03,43.74,46.01,63.49,255.43,5704.35,10915.1,11189.4,16884.87,24914.22,8540.15,37233.04,58533.84,104789.06,89978.12
e_1,23.69,108.23,46.07,42.24,85.28,230.78,6197.31,8859.06,18529.87,20586.42,23395.26,28108.0,37125.28,51888.66,103747.48,66618.38
c_1,25.63,30.15,124.7,42.52,132.39,205.37,6160.67,8567.32,8520.11,7357.69,18460.84,24123.77,36946.78,42339.93,87691.72,94932.26
d_1,30.28,28.11,33.59,140.99,65.53,224.14,5288.77,7089.89,4759.73,25088.29,22661.16,23241.77,33127.9,51758.43,96009.21,85822.8
b_1,23.17,21.74,27.26,34.73,211.73,346.54,4861.65,7811.34,9430.67,14299.59,9579.62,16832.4,32816.62,31346.54,90216.39,74141.9
a_1,18.77,20.06,22.94,21.52,28.54,556.82,3034.28,5018.58,6597.27,9926.22,9799.67,11661.15,24747.5,15388.28,42146.2,43404.79
h_1,11.83,9.19,9.1,15.92,19.7,61.89,3499.58,2990.54,3041.12,5031.5,7612.51,6818.18,8211.43,14558.46,32756.95,34308.35
g_1,5.85,8.63,10.42,18.86,15.4,54.27,1218.33,5229.95,2465.14,3854.45,6431.93,8698.87,8406.26,15090.18,14228.25,31314.77
d_0,6.54,6.38,18.29,7.75,17.52,46.73,1588.07,2566.86,4522.91,4028.91,6586.53,7727.59,11733.09,16881.8,27315.2,32445.94
c_0,7.46,6.28,6.69,10.58,13.01,51.83,1129.06,2319.67,2719.45,6538.52,10762.81,5746.25,8705.4,14500.96,30306.19,28805.19
b_0,5.46,6.3,8.11,11.4,6.66,55.94,1184.83,2052.13,1936.77,2310.15,8622.35,5282.46,7839.94,17110.07,18792.65,24936.01
f_0,4.26,4.97,8.97,11.04,13.34,35.26,1110.97,1910.6,2426.55,3685.46,5582.89,9218.64,10097.26,13352.84,21025.58,38947.12
h_0,6.23,5.21,8.54,9.49,11.83,31.77,482.89,2270.63,1712.21,3026.82,4928.97,3853.79,4218.94,10729.22,20048.74,17629.22
a_0,4.46,5.28,7.28,6.75,10.56,,978.17,1531.35,1454.66,2102.44,3721.56,4336.65,5548.54,16948.86,15250.11,18970.06
g_0,3.49,3.3,5.0,9.02,9.2,28.37,703.57,904.75,1109.53,1537.97,4201.88,4447.46,4984.65,7172.66,8805.71,13223.29
e_0,4.11,1.74,6.05,6.47,11.06,28.65,525.02,1072.1,1421.2,2135.48,3587.18,3007.49,5419.41,5187.09,14235.43,29367.91
