,f_1,e_1,d_1,c_1,b_1,a_1,h_1,g_1,c_0,d_0,f_0,b_0,h_0,e_0,a_0,g_0
f_1,100.1,104.13,66.01,130.83,107.23,511.45,8636.03,17592.25,21641.19,32467.96,26806.17,35453.51,124321.48,76585.44,122715.6,245142.49
e_1,54.67,110.74,65.4,148.84,122.11,514.23,9841.71,17213.49,19604.34,48392.3,39698.94,35995.5,125545.94,95988.65,131348.33,253631.26
d_1,62.03,62.64,114.87,99.84,130.36,533.7,9198.76,14363.41,35284.24,21626.37,33535.56,36668.88,117470.41,118815.69,116986.78,213857.82
c_1,48.94,47.84,57.06,177.14,167.71,462.33,7643.73,14184.43,11776.67,20786.49,25045.12,21917.72,89470.02,78817.51,94287.37,193997.89
b_1,56.11,50.12,56.57,77.72,187.57,660.4,7503.52,12532.22,19727.61,23498.91,27886.6,22416.94,108870.6,84504.89,92885.64,193672.85
a_1,33.55,30.0,36.12,61.23,57.77,621.62,5533.99,7282.19,12611.73,14473.89,14547.93,19016.41,62314.14,64179.92,56793.04,128203.41
h_1,18.28,15.83,17.83,29.42,32.92,122.2,3269.07,4756.31,4709.04,6403.61,8362.74,7527.07,25112.57,24592.78,35344.72,80100.84
g_1,11.08,12.21,18.86,23.05,26.66,109.75,1895.07,5160.94,4507.36,5662.99,9610.58,6794.16,22343.79,22688.63,26307.27,46142.69
c_0,12.07,14.53,12.06,23.54,18.86,101.66,1975.98,3558.98,5549.53,7198.35,7113.76,11355.27,25810.04,23157.52,31010.39,50585.96
d_0,10.08,10.31,10.86,35.71,22.67,86.96,1740.65,2878.69,2644.44,6830.61,5467.13,5561.31,21478.14,21434.64,22193.62,50263.14
f_0,8.03,9.04,14.09,22.76,22.97,98.34,1569.45,2696.21,4123.17,5350.38,7681.37,6048.04,23840.29,35564.62,25103.23,41378.55
b_0,10.45,10.82,11.96,23.29,19.32,78.32,1722.94,3123.76,3235.85,5544.01,5850.42,7504.78,23796.7,21359.46,38559.07,46477.54
h_0,8.01,8.47,9.13,15.93,12.05,60.39,990.02,2606.11,2648.83,3570.03,3651.55,3898.89,12041.68,11348.82,14618.44,34425.69
e_0,8.92,6.75,8.36,13.76,14.53,66.2,1256.12,1962.48,2597.6,2991.61,2752.02,4072.79,16163.26,19199.41,16331.8,30735.4
a_0,6.82,7.07,8.41,14.1,12.78,46.73,1033.15,1901.76,2573.92,3255.88,3945.69,3351.06,16052.4,12660.22,21023.08,32654.94
g_0,4.74,5.92,9.16,12.54,10.77,47.82,758.86,1541.29,2194.55,2410.58,4331.85,3407.13,11785.69,12107.95,12556.33,20490.76
