,e_1,f_1,d_1,c_1,b_1,a_1,h_1,d_0,c_0,g_1,b_0,f_0,h_0,a_0,g_0,e_0
e_1,1.0,0.91,1.03,1.52,2.01,4.85,19.18,36.69,30.11,35.08,41.03,67.72,78.16,100.01,111.29,154.28
f_1,1.11,1.0,0.98,1.29,1.85,4.03,15.93,28.29,25.9,32.24,32.91,48.63,60.38,88.8,98.91,100.09
d_1,0.96,1.03,1.0,1.24,1.87,3.9,17.52,28.38,32.96,25.75,38.2,50.55,70.27,89.33,83.58,121.75
c_1,0.65,0.76,0.81,1.0,1.88,3.39,13.15,15.52,17.66,21.33,23.1,37.18,53.1,63.87,73.14,90.21
b_1,0.5,0.55,0.55,0.55,1.0,2.94,9.71,13.45,15.2,15.94,17.25,24.04,38.34,43.07,47.23,60.18
a_1,0.21,0.25,0.25,0.3,0.34,1.0,4.69,5.97,6.46,7.49,9.78,11.07,17.49,21.0,23.22,26.37
h_1,0.05,0.06,0.06,0.08,0.11,0.21,1.0,1.43,1.48,1.91,1.95,2.76,4.07,5.14,6.3,6.55
d_0,0.03,0.03,0.03,0.07,0.08,0.16,0.67,1.0,0.89,1.14,1.32,1.98,2.8,3.13,3.97,4.68
c_0,0.03,0.04,0.03,0.06,0.07,0.15,0.66,1.07,1.0,1.08,1.69,2.02,2.91,3.85,3.68,4.57
g_1,0.03,0.03,0.04,0.05,0.06,0.14,0.53,0.87,0.91,1.0,1.21,1.87,2.12,3.02,3.44,4.42
b_0,0.02,0.03,0.03,0.04,0.06,0.1,0.5,0.79,0.6,0.86,1.0,1.49,2.17,3.34,2.8,3.49
f_0,0.02,0.02,0.02,0.03,0.04,0.09,0.36,0.54,0.5,0.54,0.68,1.0,1.49,1.78,1.66,3.37
h_0,0.01,0.02,0.01,0.02,0.03,0.06,0.24,0.37,0.35,0.45,0.45,0.65,1.0,1.25,1.48,1.54
a_0,0.01,0.01,0.01,0.01,0.02,0.05,0.2,0.31,0.28,0.32,0.32,0.57,0.82,1.0,1.13,1.41
g_0,0.01,0.01,0.01,0.01,0.02,0.04,0.16,0.25,0.26,0.29,0.36,0.61,0.69,0.86,1.0,1.34
e_0,0.01,0.01,0.01,0.01,0.02,0.04,0.15,0.22,0.22,0.23,0.28,0.3,0.63,0.73,0.76,1.0
