,e_1,f_1,d_1,c_1,b_1,a_1,h_1,d_0,g_1,c_0,b_0,f_0,a_0,h_0,g_0,e_0
e_1,1.93,0.85,0.62,0.94,0.68,0.74,0.87,1.67,0.97,0.83,1.08,0.94,1.01,1.09,1.04,0.73
f_1,1.22,1.97,0.7,0.74,0.64,0.6,0.93,0.92,0.92,0.96,0.88,0.53,0.91,0.95,0.78,0.67
d_1,0.75,0.83,2.25,0.56,0.67,0.67,1.01,0.63,0.84,1.75,1.18,1.08,1.12,1.1,1.13,1.12
c_1,0.68,0.73,0.76,2.29,1.39,0.73,0.93,0.79,0.93,0.53,0.72,0.89,0.81,0.82,0.73,0.97
b_1,0.65,0.68,0.82,0.73,2.88,1.54,0.95,0.77,0.92,0.85,0.57,1.07,0.76,0.99,0.92,1.03
a_1,0.77,0.82,0.83,0.79,0.63,3.57,1.08,0.9,0.95,1.03,1.0,1.08,0.52,1.03,1.24,0.91
h_1,0.81,1.13,0.95,0.74,0.78,0.68,1.9,0.86,1.22,1.0,0.95,0.97,1.02,0.8,1.27,1.17
d_0,0.73,0.87,0.59,1.53,0.85,0.72,0.98,1.57,1.03,0.64,1.01,1.05,1.07,1.02,1.0,1.07
g_1,0.72,0.63,1.34,0.83,0.77,0.73,1.02,0.84,2.61,1.05,1.17,1.83,1.18,0.92,0.81,1.35
c_0,0.94,0.84,0.87,0.73,0.6,0.72,1.06,1.2,1.0,1.68,1.97,1.22,1.35,1.15,1.38,1.09
b_0,0.8,0.97,0.93,1.01,0.59,0.47,1.04,1.13,1.08,0.91,1.9,1.25,2.17,1.03,1.09,1.13
f_0,0.72,0.69,1.05,0.91,0.79,0.79,1.02,1.02,1.05,1.0,1.21,2.1,1.22,1.22,1.34,2.48
a_0,0.77,0.88,1.03,1.05,0.86,0.44,1.08,1.09,1.14,0.91,1.06,1.12,2.38,1.08,1.06,1.31
h_0,0.84,1.09,0.92,0.83,0.63,0.89,0.87,1.11,1.47,0.91,1.04,1.02,1.11,0.72,1.49,1.0
g_0,0.72,0.8,1.31,0.85,0.73,0.65,1.07,0.94,0.68,1.0,1.2,1.62,1.34,1.08,0.91,1.28
e_0,0.53,1.1,0.96,0.9,0.95,0.72,1.07,1.0,1.09,1.04,1.13,1.09,1.13,1.24,1.1,2.28
