,f_1,e_1,d_1,c_1,b_1,a_1,h_1,g_1,d_0,c_0,b_0,f_0,h_0,a_0,e_0,g_0
f_1,1.0,1.19,0.92,1.03,0.69,0.7,0.72,0.65,0.7,0.69,0.67,,0.55,0.64,,0.54
e_1,0.84,1.0,1.04,1.01,0.92,0.81,0.59,0.75,0.77,0.65,0.68,0.83,0.58,0.57,,0.34
d_1,1.08,0.96,1.0,0.98,0.96,0.98,0.77,0.52,,0.88,0.59,0.57,0.61,0.54,0.66,0.39
c_1,0.97,0.99,1.02,1.0,1.55,1.09,0.84,0.59,0.55,,0.51,0.62,0.55,,0.56,0.59
b_1,1.45,1.08,1.04,0.64,1.0,1.24,0.83,0.79,0.62,0.73,,0.6,0.7,0.5,0.54,0.65
a_1,1.43,1.23,1.02,0.92,0.81,1.0,1.07,0.78,0.86,0.72,0.8,,0.77,,0.63,0.69
h_1,1.4,1.69,1.3,1.18,1.21,0.94,1.0,1.33,0.88,0.71,0.87,0.91,,0.82,0.84,1.1
g_1,1.54,1.34,1.91,1.7,1.27,1.28,0.75,1.0,0.9,1.0,0.84,1.09,0.9,0.83,1.02,
d_0,1.43,1.3,,1.8,1.6,1.17,1.14,1.11,1.0,1.13,1.05,0.95,0.66,0.78,0.64,0.96
c_0,1.46,1.55,1.14,,1.36,1.39,1.4,1.0,0.89,1.0,1.45,0.9,1.1,0.78,,0.81
b_0,1.49,1.47,1.7,1.97,,1.25,1.15,1.2,0.96,0.69,1.0,1.06,1.01,1.57,0.9,0.89
f_0,,1.21,1.74,1.61,1.68,,1.1,0.92,1.05,1.11,0.94,1.0,1.09,0.94,1.42,0.77
h_0,1.81,1.71,1.65,1.82,1.42,1.31,,1.12,1.51,0.91,0.99,0.92,,0.87,0.85,1.15
a_0,1.57,1.74,1.85,,1.99,,1.21,1.2,1.28,1.28,0.64,1.06,1.15,1.0,0.8,0.81
e_0,,,1.52,1.8,1.85,1.59,1.19,0.98,1.56,,1.12,0.71,1.18,1.26,1.0,
g_0,1.85,2.93,2.55,1.68,1.55,1.45,0.91,,1.05,1.24,1.12,1.29,0.87,1.23,,
