,e_1,f_1,c_1,d_1,b_1,a_1,h_1,d_0,c_0,g_1,b_0,f_0,a_0,h_0,e_0,g_0
e_1,0.88,0.1,0.09,0.06,0.06,0.05,0.07,0.16,0.09,0.05,0.07,0.07,0.06,0.08,0.01,0.07
f_1,0.17,0.88,0.09,0.05,0.06,0.04,0.06,0.1,0.08,0.05,0.07,0.02,0.05,0.08,0.03,0.04
c_1,0.09,0.09,0.87,0.08,0.15,0.03,0.08,0.07,0.01,0.07,0.06,0.06,0.04,0.06,0.06,0.06
d_1,0.07,0.12,0.06,0.88,0.07,0.04,0.09,0.02,0.16,0.07,0.07,0.07,0.05,0.08,0.03,0.06
b_1,0.09,0.07,0.09,0.08,0.87,0.1,0.1,0.1,0.08,0.05,0.01,0.06,0.04,0.06,0.03,0.06
a_1,0.08,0.1,0.07,0.09,0.06,0.87,0.09,0.06,0.08,0.05,0.07,0.08,,0.09,0.06,0.05
h_1,0.13,0.17,0.12,0.18,0.13,0.1,0.52,0.11,0.12,0.15,0.12,0.12,0.08,0.05,0.07,0.15
d_0,0.17,0.13,0.31,0.04,0.12,0.08,0.11,0.38,0.12,0.08,0.15,0.12,0.09,0.14,0.08,0.09
c_0,0.13,0.16,0.05,0.17,0.13,0.1,0.13,0.16,0.38,0.13,0.24,0.14,0.09,0.12,0.1,0.12
g_1,0.13,0.11,0.13,0.27,0.11,0.07,0.13,0.13,0.14,0.53,0.14,0.18,0.08,0.12,0.06,0.05
b_0,0.14,0.15,0.13,0.18,0.05,0.11,0.15,0.17,0.13,0.15,0.38,0.11,0.21,0.12,0.09,0.11
f_0,0.14,0.05,0.19,0.19,0.11,0.07,0.16,0.17,0.17,0.12,0.17,0.4,0.11,0.1,0.19,0.11
a_0,0.19,0.19,0.17,0.12,0.13,,0.14,0.17,0.17,0.14,0.13,0.12,0.37,0.12,0.07,0.12
h_0,0.13,0.22,0.15,0.15,0.11,0.08,0.07,0.12,0.14,0.13,0.14,0.13,0.08,0.05,0.09,0.14
e_0,0.06,0.13,0.21,0.19,0.16,0.09,0.1,0.18,0.14,0.11,0.15,0.14,0.11,0.16,0.37,0.11
g_0,0.11,0.12,0.14,0.25,0.11,0.09,0.12,0.14,0.15,0.06,0.14,0.19,0.07,0.15,0.09,0.05
