,f_1,e_1,d_1,c_1,b_1,a_1,h_1,g_1,c_0,d_0,b_0,f_0,h_0,e_0,a_0,g_0
f_1,0.45,4.02,4.04,4.11,3.84,3.71,0.92,1.19,0.73,0.76,0.95,3.78,0.43,0.73,0.85,0.98
e_1,2.22,0.44,5.13,4.5,5.06,6.27,1.38,1.47,0.92,0.92,0.71,1.03,0.52,4.15,1.13,0.63
d_1,4.65,4.71,0.44,5.12,3.75,4.31,1.18,0.71,0.92,3.31,0.88,0.73,0.58,0.88,0.69,0.44
c_1,5.0,4.02,5.31,0.4,5.5,4.07,1.24,1.54,4.23,0.51,0.99,0.87,0.68,1.17,0.96,0.64
b_1,5.14,6.76,3.82,2.64,0.4,5.64,1.37,1.51,1.04,1.15,3.23,1.03,1.03,1.16,1.02,0.75
a_1,7.02,7.03,5.88,6.12,3.46,0.31,1.72,2.13,1.49,1.42,1.92,1.7,1.09,1.02,,0.83
h_1,5.07,4.7,4.95,5.38,5.31,4.44,0.36,1.58,0.99,1.0,0.82,1.28,2.14,0.74,1.04,0.82
g_1,5.78,4.97,5.68,5.54,5.24,6.54,1.44,0.33,1.1,1.14,1.03,1.11,0.6,1.24,1.12,1.51
c_0,6.53,7.0,2.63,16.4,6.59,4.43,2.06,2.41,0.44,1.57,1.3,1.08,0.93,0.95,1.02,0.77
d_0,6.88,2.96,19.34,6.1,6.21,6.16,1.84,3.04,1.17,0.44,0.91,1.0,0.82,1.5,1.37,1.05
b_0,6.07,4.54,5.57,7.34,15.07,6.2,1.88,1.65,0.66,1.19,0.43,1.03,0.9,1.13,0.94,0.87
f_0,18.79,4.66,5.31,5.93,5.2,6.64,1.42,0.99,1.06,1.35,0.98,0.4,0.9,1.64,1.29,0.47
h_0,6.85,6.48,7.43,6.89,7.26,6.65,4.65,2.26,1.35,1.38,1.14,1.07,2.8,1.1,1.41,0.94
e_0,10.68,13.97,5.84,7.33,7.31,4.6,2.4,2.29,1.29,1.25,1.37,0.67,1.17,0.34,1.06,0.99
a_0,6.89,7.5,7.79,9.08,9.09,,1.63,2.03,1.17,1.49,0.64,1.34,1.05,1.16,0.36,0.8
g_0,8.18,7.85,9.55,8.19,9.09,7.41,1.51,4.58,1.24,1.49,1.79,1.33,0.95,1.54,1.02,2.35
