,f_1,e_1,d_1,c_1,b_1,a_1,h_1,d_0,g_1,c_0,b_0,f_0,h_0,a_0,g_0,e_0
f_1,1.0,1.43,1.07,1.27,1.7,3.5,12.14,27.99,28.98,24.89,45.73,48.36,57.99,90.14,117.04,107.26
e_1,0.7,1.0,1.08,1.54,1.71,3.31,17.82,34.54,34.93,30.41,39.57,53.03,68.33,81.87,111.1,109.25
d_1,0.94,0.93,1.0,0.98,1.46,3.34,12.93,31.89,18.96,34.39,39.81,41.2,72.72,63.35,70.05,79.39
c_1,0.79,0.65,1.02,1.0,1.71,3.01,10.64,16.35,28.58,18.02,29.67,45.65,64.86,67.91,66.58,90.91
b_1,0.59,0.59,0.69,0.58,1.0,3.28,9.66,18.22,19.69,18.91,21.73,27.53,38.92,37.89,62.71,60.01
a_1,0.29,0.3,0.3,0.33,0.31,1.0,4.67,8.95,8.38,8.88,13.38,13.85,25.3,19.0,22.12,27.47
h_1,0.08,0.05,0.08,0.09,0.1,0.2,1.0,1.82,2.15,1.93,2.69,2.58,6.28,5.53,8.25,5.8
d_0,0.04,0.03,0.04,0.07,0.05,0.11,0.54,1.0,1.01,1.03,1.22,1.71,3.08,2.57,3.89,3.64
g_1,0.04,0.03,0.05,0.04,0.05,0.12,0.47,0.95,1.0,0.99,1.57,2.32,2.1,2.32,2.91,3.0
c_0,0.04,0.03,0.03,0.05,0.05,0.12,0.52,0.95,0.93,1.0,1.9,1.72,2.49,3.3,3.36,3.63
b_0,0.02,0.02,0.02,0.03,0.05,0.07,0.41,0.88,0.62,0.54,1.0,1.23,1.63,2.7,2.22,1.89
f_0,0.02,0.02,0.02,0.02,0.04,0.07,0.38,0.61,0.44,0.59,0.85,1.0,1.5,1.61,1.59,2.6
h_0,0.02,0.01,0.01,0.02,0.03,0.04,0.16,0.33,0.48,0.38,0.61,0.71,1.0,1.04,1.53,1.22
a_0,0.01,0.01,0.02,0.02,0.02,0.05,0.18,0.39,0.4,0.32,0.38,0.59,0.98,1.0,1.23,1.31
g_0,0.01,0.01,0.01,0.01,0.02,0.05,0.12,0.25,0.33,0.3,0.45,0.6,0.66,0.79,1.0,1.13
e_0,0.01,0.01,0.01,0.01,0.02,0.04,0.17,0.27,0.33,0.27,0.47,0.39,0.81,0.86,0.88,1.0
