,e_1,d_1,f_1,c_1,b_1,a_1,h_1,g_1,d_0,c_0,f_0,b_0,h_0,e_0,a_0,g_0
e_1,1.1,2.84,1.75,3.05,3.75,2.85,0.9,0.95,0.65,0.63,0.75,0.67,0.53,1.03,0.67,0.5
d_1,3.59,1.09,3.28,3.22,2.84,2.73,0.78,0.53,0.98,0.56,0.54,0.57,0.4,0.53,0.55,0.28
f_1,3.22,2.98,1.1,3.29,2.93,2.55,0.7,1.07,0.76,0.62,1.06,0.58,0.32,0.64,0.59,0.51
c_1,2.87,4.81,3.49,1.11,3.76,3.07,1.02,1.0,0.42,1.05,0.68,0.71,0.52,0.64,0.67,0.46
b_1,3.74,4.22,5.01,2.28,1.12,4.33,1.11,1.1,0.78,1.18,0.85,1.51,0.6,0.85,0.8,0.65
a_1,6.49,5.23,6.86,5.14,2.56,1.13,1.69,1.61,1.21,1.23,1.18,1.55,0.75,0.98,2.27,0.9
h_1,11.65,11.4,12.52,12.99,11.63,10.78,1.61,3.44,2.59,2.39,2.72,2.49,2.35,2.57,2.27,1.5
g_1,11.92,11.4,14.05,12.62,12.6,11.85,3.01,1.68,2.77,2.62,2.56,2.67,1.41,2.29,2.44,2.12
d_0,8.74,23.63,14.16,14.52,14.32,14.09,4.84,4.71,1.99,3.82,2.75,2.89,2.07,2.83,2.93,2.13
c_0,15.84,8.8,15.43,26.54,15.46,13.52,4.72,4.17,5.17,1.94,3.32,3.12,2.18,3.29,3.32,2.15
f_0,13.98,15.76,30.46,17.2,16.9,17.37,4.78,3.02,3.48,3.71,2.0,3.84,2.59,4.01,2.91,1.58
b_0,18.62,12.89,16.39,23.87,22.49,14.5,5.36,4.83,4.74,1.99,4.09,1.98,2.23,3.38,2.84,2.62
h_0,21.55,20.61,28.21,21.99,22.3,18.32,8.23,6.56,4.71,4.24,4.22,4.56,4.87,3.93,3.78,2.76
e_0,27.25,22.87,40.98,27.49,23.66,20.15,6.82,5.91,5.02,5.16,2.71,5.05,2.99,2.28,4.4,2.58
a_0,24.87,22.58,25.69,34.99,38.87,34.15,7.9,8.26,6.9,4.13,5.97,2.7,3.84,4.64,2.3,3.4
g_0,28.29,27.7,31.58,36.65,28.05,27.99,6.14,10.38,6.83,7.01,5.5,6.45,3.35,5.13,4.89,5.61
