,f_1,c_1,e_1,b_1,d_1,a_1,h_1,d_0,c_0,g_1,b_0,f_0,a_0,h_0,e_0,g_0
f_1,1.0,1.28,1.52,1.26,1.49,3.03,21.9,26.13,31.99,38.49,56.73,58.73,82.48,76.66,110.29,131.26
c_1,0.78,1.0,0.95,1.67,1.73,2.75,16.9,18.64,18.65,28.54,32.69,40.31,70.91,78.79,96.19,116.92
e_1,0.66,1.06,1.0,1.17,1.01,2.6,21.4,32.7,27.33,28.03,44.68,47.88,62.49,81.75,98.29,110.86
b_1,0.79,0.6,0.85,1.0,1.06,3.12,19.75,20.05,24.64,27.33,31.01,41.09,63.03,60.41,90.03,83.55
d_1,0.67,0.58,0.99,0.95,1.0,1.93,14.76,24.49,31.92,17.33,37.82,47.47,73.54,70.34,85.98,67.19
a_1,0.33,0.36,0.38,0.32,0.52,1.0,8.37,8.37,9.08,10.37,17.87,19.42,34.74,28.23,40.53,42.44
h_1,0.05,0.06,0.05,0.05,0.07,0.12,1.0,1.19,1.3,1.9,2.27,2.32,3.69,5.13,4.08,5.67
d_0,0.04,0.06,0.03,0.05,0.04,0.12,0.81,1.0,1.03,1.1,1.33,1.85,2.94,2.96,4.65,3.99
c_0,0.03,0.05,0.04,0.04,0.03,0.11,0.79,0.99,1.0,1.02,2.11,1.84,3.26,3.26,3.69,3.89
g_1,0.03,0.04,0.04,0.04,0.06,0.09,0.53,0.87,0.97,1.0,1.47,1.96,2.78,2.74,3.29,3.93
b_0,0.02,0.03,0.02,0.03,0.03,0.06,0.44,0.73,0.47,0.71,1.0,1.11,2.62,1.86,2.44,3.09
f_0,0.02,0.03,0.02,0.02,0.02,0.05,0.43,0.5,0.53,0.49,0.92,1.0,1.38,1.57,2.72,1.64
a_0,0.01,0.01,0.01,0.02,0.01,0.03,0.28,0.35,0.3,0.36,0.38,0.73,1.0,1.2,1.51,1.26
h_0,0.01,0.01,0.01,0.02,0.01,0.04,0.19,0.33,0.31,0.37,0.54,0.64,0.85,1.0,1.3,1.34
e_0,0.01,0.01,0.01,0.01,0.01,0.03,0.26,0.21,0.25,0.29,0.36,0.38,0.57,0.76,1.0,1.07
g_0,0.01,0.01,0.01,0.01,0.01,0.02,0.18,0.24,0.25,0.24,0.33,0.64,0.74,0.75,0.93,1.0
