,f_1,d_1,e_1,c_1,b_1,a_1,h_1,g_1,c_0,d_0,b_0,f_0,h_0,a_0,e_0,g_0
f_1,1.5,0.72,1.13,0.7,0.64,0.54,0.71,0.73,0.79,0.82,0.72,0.51,0.82,0.66,0.56,0.72
d_1,0.84,1.53,0.76,0.67,0.63,0.57,0.86,0.74,1.36,0.59,1.06,0.76,0.93,0.79,0.77,0.72
e_1,0.77,0.66,1.53,0.84,0.7,0.59,0.87,0.85,0.89,1.41,0.95,0.88,1.03,0.78,0.62,1.09
c_1,0.78,0.74,0.65,1.58,1.18,0.63,0.74,0.74,0.54,0.76,0.71,0.88,0.95,0.73,0.72,0.99
b_1,0.82,0.87,0.73,0.64,1.62,1.06,0.98,0.72,0.91,1.0,0.47,0.88,0.94,0.78,0.74,0.94
a_1,0.89,0.93,0.79,0.82,0.59,1.76,0.92,1.04,0.9,0.84,1.05,1.01,1.26,0.59,0.84,0.89
h_1,1.34,1.06,0.88,1.09,0.8,0.69,1.79,1.34,0.97,0.98,0.92,1.03,1.09,0.85,0.95,1.38
g_1,0.95,1.43,0.92,1.07,0.87,0.68,1.1,1.83,1.09,0.96,1.0,1.47,1.14,1.16,1.01,0.96
c_0,1.22,0.96,1.0,0.9,0.76,0.91,1.31,1.15,1.66,1.17,1.96,1.08,1.42,1.19,1.06,1.26
d_0,1.13,0.77,0.86,1.7,0.95,0.81,1.2,1.12,0.8,1.66,1.04,1.21,1.29,0.96,1.03,1.17
b_0,1.17,0.96,1.06,1.12,0.93,0.7,1.33,1.28,1.02,1.27,1.7,1.05,1.3,1.85,1.06,1.25
f_0,0.96,1.25,0.93,1.12,0.92,0.81,1.38,1.05,1.28,1.03,1.34,1.74,1.64,1.14,1.84,1.15
h_0,1.45,1.16,1.04,1.04,1.0,0.77,0.95,1.43,1.06,1.13,1.25,1.07,1.12,0.96,1.09,1.56
a_0,1.27,1.1,1.1,1.05,1.01,0.63,1.51,1.06,1.32,1.28,1.09,1.3,1.67,1.76,1.23,1.38
e_0,1.36,1.19,0.77,1.22,1.09,0.84,1.39,1.18,1.29,1.12,1.32,1.08,1.32,0.94,1.85,1.22
g_0,1.1,1.73,0.75,0.94,0.99,0.91,1.27,0.96,1.34,1.03,1.25,1.67,1.3,1.18,1.19,1.04
