,d_1,f_1,e_1,c_1,b_1,a_1,h_1,g_1,c_0,d_0,b_0,f_0,a_0,h_0,e_0,g_0
d_1,1.04,1.6,1.5,1.37,1.33,1.26,0.51,0.4,0.45,0.49,0.44,0.38,0.39,0.31,0.36,0.23
f_1,1.45,1.04,1.59,1.46,1.41,1.18,0.47,0.59,0.46,0.47,0.43,0.48,0.38,0.27,0.36,0.33
e_1,1.6,1.21,1.05,1.97,1.55,1.39,0.66,0.61,0.48,0.56,0.52,0.54,0.46,0.37,0.5,0.39
c_1,2.06,1.83,1.34,1.05,1.69,1.37,0.65,0.65,0.55,0.32,0.4,0.47,0.41,0.36,0.4,0.36
b_1,2.14,2.05,1.82,1.28,1.05,1.72,0.84,0.75,0.68,0.54,0.62,0.55,0.49,0.47,0.45,0.46
a_1,2.56,2.88,2.47,2.09,1.45,1.06,1.11,1.02,0.83,0.69,0.84,0.72,0.72,0.6,0.72,0.64
h_1,4.32,4.62,4.21,4.17,3.97,2.93,1.22,1.51,1.28,1.28,1.28,1.18,1.11,1.1,1.07,0.94
g_1,5.79,5.14,5.06,4.83,4.37,3.76,1.62,1.25,1.47,1.51,1.48,1.44,1.28,0.96,1.2,1.13
c_0,3.93,5.42,5.23,7.38,4.9,4.49,1.93,1.89,1.3,2.21,1.75,1.42,1.51,1.21,1.38,1.03
d_0,6.16,5.2,3.79,6.66,5.15,4.48,2.08,2.13,1.52,1.39,1.61,1.71,1.67,1.29,1.49,1.19
b_0,4.77,6.25,5.05,7.49,6.87,4.68,1.99,1.84,1.16,1.93,1.34,1.56,1.63,1.34,1.42,1.18
f_0,6.11,7.5,6.03,6.52,6.31,4.59,2.24,1.57,1.79,1.91,1.73,1.34,1.61,1.32,1.83,1.09
a_0,6.65,7.25,6.84,7.88,7.14,6.6,2.9,2.16,1.88,2.12,1.43,2.03,1.46,1.57,1.85,1.73
h_0,7.21,8.41,7.1,7.21,6.16,5.91,3.08,2.54,2.43,2.18,2.02,2.04,1.76,1.9,1.59,1.66
e_0,8.05,10.1,8.02,8.28,8.13,5.8,2.79,2.31,2.28,2.52,2.32,1.4,2.09,2.06,1.42,1.53
g_0,9.38,9.16,8.19,7.75,7.55,6.24,2.57,2.96,2.73,2.39,2.51,2.29,2.08,1.71,1.98,1.91
