,e_1,f_1,d_1,c_1,b_1,a_1,h_1,g_1,d_0,c_0,b_0,f_0,h_0,g_0,a_0,e_0
e_1,0.66,0.91,1.46,1.51,1.5,1.29,0.75,0.68,0.61,0.45,0.53,0.56,0.44,0.45,0.47,0.84
f_1,1.52,0.66,1.25,1.44,1.29,1.22,0.53,0.63,0.51,0.57,0.51,0.71,0.29,0.41,0.45,0.45
d_1,1.52,1.68,0.65,1.27,1.39,1.41,0.62,0.47,1.04,0.54,0.53,0.46,0.46,0.27,0.47,0.48
c_1,1.24,1.51,1.86,0.64,1.62,1.2,0.68,0.59,0.35,0.68,0.4,0.48,0.45,0.45,0.45,0.41
b_1,1.47,1.84,1.48,0.99,0.63,1.52,0.65,0.81,0.56,0.83,0.84,0.57,0.5,0.46,0.57,0.54
a_1,1.93,1.93,1.85,1.89,1.1,0.57,0.94,0.97,0.72,0.56,0.69,0.6,0.53,0.54,0.75,0.53
h_1,1.92,2.25,2.01,2.25,2.29,1.76,0.58,0.94,0.8,0.7,0.68,0.87,0.8,0.68,0.7,0.63
g_1,2.32,2.39,2.38,2.36,2.49,1.86,0.92,0.55,0.8,0.8,0.79,0.9,0.57,0.94,0.91,0.84
d_0,1.52,2.33,2.97,2.97,2.24,2.19,1.23,1.28,0.63,0.78,0.88,0.9,0.74,0.75,0.78,0.84
c_0,2.87,2.42,1.53,3.69,1.99,2.87,1.25,1.04,1.21,0.61,1.36,0.86,0.77,0.82,0.75,0.75
b_0,2.46,2.47,2.36,3.56,3.4,2.32,1.14,1.29,0.9,0.53,0.59,0.9,0.8,0.78,0.94,0.83
f_0,2.36,4.28,2.44,2.92,2.34,2.46,0.91,0.77,0.93,0.83,1.09,0.6,0.93,0.62,1.04,0.99
h_0,2.72,3.54,2.45,2.64,2.42,2.23,1.57,1.35,0.99,1.11,0.92,0.82,1.02,0.89,0.81,0.9
g_0,3.2,3.23,3.34,2.89,2.79,2.75,1.0,1.54,1.13,0.9,0.96,0.98,0.69,1.06,0.96,0.81
a_0,3.37,3.47,2.8,2.86,3.2,4.04,1.31,1.15,1.11,1.05,0.62,0.85,0.9,1.03,0.57,0.9
e_0,3.2,3.77,2.92,3.28,2.98,2.56,1.38,1.23,1.15,1.12,1.08,0.62,1.0,0.94,1.13,0.57
