,f_1,e_1,d_1,c_1,b_1,a_1,h_1,g_1,d_0,c_0,b_0,f_0,a_0,h_0,g_0,e_0
f_1,1.52,1.09,0.74,0.77,0.7,0.52,0.7,0.74,0.82,0.69,0.81,0.52,0.67,0.76,0.85,0.49
e_1,0.76,1.52,0.69,0.81,0.65,0.6,1.03,0.8,1.43,0.94,1.0,0.99,0.86,0.92,0.92,0.58
d_1,0.8,0.74,1.54,0.66,0.63,0.7,0.81,0.72,0.58,1.45,1.03,0.85,0.74,1.02,0.77,0.83
c_1,0.78,0.77,0.75,1.56,1.12,0.57,0.77,0.69,0.73,0.51,0.64,0.75,0.74,0.88,0.78,0.6
b_1,0.75,0.74,0.84,0.66,1.62,1.08,0.87,0.84,0.93,0.79,0.49,0.92,0.65,0.95,0.83,0.79
a_1,0.89,0.81,0.85,0.8,0.66,1.73,1.1,0.93,0.9,0.96,0.83,0.86,0.69,1.21,0.91,0.75
h_1,1.35,0.9,1.02,1.04,0.84,0.7,1.76,1.32,1.19,1.18,1.04,0.99,0.87,0.98,1.39,0.98
g_1,0.95,1.03,1.54,1.06,0.77,0.73,0.93,1.83,0.8,1.08,1.07,1.3,0.81,1.08,1.03,0.85
d_0,1.04,0.87,0.83,1.71,0.99,0.81,1.14,1.22,1.65,0.94,1.11,1.05,1.04,1.29,1.07,0.91
c_0,1.24,1.08,0.89,0.8,0.82,0.83,1.14,1.23,1.41,1.67,2.23,1.31,1.27,1.34,1.17,1.11
b_0,1.21,0.99,1.0,1.21,0.85,0.72,1.27,1.13,1.32,0.96,1.68,0.96,1.97,1.57,1.27,1.04
f_0,0.97,0.89,1.16,1.18,0.93,0.98,1.34,1.03,1.39,1.14,1.33,1.71,1.08,1.33,1.14,2.04
a_0,1.37,1.07,1.1,1.13,1.01,0.59,1.38,1.38,1.32,1.07,1.19,1.15,1.77,1.31,1.22,0.78
h_0,1.61,1.11,1.14,1.12,0.93,0.65,0.9,1.58,1.13,1.12,1.08,1.12,1.07,1.04,1.47,1.02
g_0,1.09,1.09,1.47,1.07,0.94,0.93,1.22,0.95,1.34,1.17,1.11,1.64,1.24,1.33,1.05,1.17
e_0,1.3,0.99,1.13,1.35,0.94,0.81,1.21,1.36,1.35,1.26,1.33,0.76,1.42,1.43,1.37,1.86
