,c_1,f_1,d_1,e_1,b_1,a_1,h_1,g_1,d_0,c_0,f_0,b_0,h_0,e_0,a_0,g_0
c_1,17.87,0.53,0.43,0.51,1.27,0.36,0.91,0.8,0.85,0.23,1.02,0.63,0.96,0.97,0.78,0.84
f_1,0.56,17.51,0.65,1.13,0.4,0.36,0.84,0.85,0.71,0.82,0.29,1.01,0.86,0.45,0.99,0.73
d_1,0.39,0.6,20.59,0.41,0.48,0.48,1.0,0.94,0.37,2.34,1.13,1.38,0.98,1.18,1.07,1.04
e_1,0.63,0.54,0.41,19.71,0.55,0.54,0.7,0.83,2.24,0.83,0.96,0.99,1.09,0.41,0.95,1.13
b_1,0.48,0.54,0.47,0.53,19.7,1.47,0.96,0.67,0.88,0.74,0.94,0.26,0.9,0.92,0.76,0.79
a_1,0.74,0.54,0.49,0.42,0.45,33.34,0.81,1.0,0.93,0.91,0.96,0.85,0.97,1.35,0.38,1.07
h_1,0.63,1.08,0.74,0.59,0.51,0.77,5.33,1.44,0.94,1.3,1.05,1.24,0.65,1.11,1.32,1.58
g_1,0.54,0.55,1.42,0.57,0.59,0.49,1.21,6.75,0.98,1.19,2.26,1.11,1.13,1.42,1.1,0.68
d_0,2.03,0.64,0.3,0.68,0.66,0.66,0.89,0.97,3.24,0.74,1.31,1.09,1.12,1.13,1.09,1.12
c_0,0.37,0.77,0.95,0.59,0.45,0.69,1.19,1.2,1.05,3.63,1.43,3.68,1.35,1.47,1.39,1.71
f_0,0.81,0.34,0.98,0.57,0.67,0.8,1.14,1.04,0.89,1.25,3.95,1.41,1.18,2.71,1.4,1.32
b_0,0.69,0.97,0.78,0.69,0.27,0.46,1.12,1.29,1.22,1.2,1.05,3.89,1.64,1.53,2.62,1.39
h_0,0.63,1.04,0.8,0.65,0.59,0.64,0.6,2.01,1.21,1.14,1.1,1.13,0.7,1.19,1.27,1.93
e_0,0.8,0.91,0.88,0.21,0.78,0.68,1.51,1.24,0.86,0.87,1.17,1.31,1.52,5.94,1.29,1.19
a_0,0.8,0.74,1.05,0.57,0.54,0.36,1.29,1.05,1.08,0.96,0.76,0.87,1.36,1.04,4.85,1.36
g_0,0.78,0.53,1.4,0.56,0.66,0.53,0.97,0.63,1.11,1.27,1.8,1.18,1.37,1.17,1.14,0.79
