,e_1,f_1,d_1,c_1,b_1,a_1,h_1,d_0,g_1,c_0,f_0,b_0,h_0,e_0,a_0,g_0
e_1,1.0,0.77,1.19,1.62,1.63,3.12,21.47,34.65,26.0,25.08,44.68,50.64,71.85,104.39,84.48,108.96
f_1,1.29,1.0,0.95,0.96,1.34,2.25,13.51,22.4,23.59,26.74,32.78,33.96,55.31,62.04,94.27,86.82
d_1,0.83,1.05,1.0,0.92,1.31,2.38,14.84,19.14,18.13,30.73,30.38,40.53,55.98,80.94,71.21,63.08
c_1,0.62,1.02,1.09,1.0,1.88,2.52,15.33,14.44,19.29,19.3,30.35,28.91,58.77,70.4,63.76,86.88
b_1,0.6,0.76,0.76,0.53,1.0,3.18,11.83,15.17,15.52,21.07,22.99,30.96,48.18,61.09,52.29,64.89
a_1,0.32,0.44,0.41,0.4,0.32,1.0,6.0,8.33,8.57,7.83,10.9,17.52,24.51,34.35,36.56,32.53
h_1,0.05,0.07,0.07,0.06,0.08,0.17,1.0,1.18,1.79,1.52,2.04,2.26,3.41,4.71,4.81,6.55
d_0,0.03,0.04,0.05,0.07,0.07,0.12,0.84,1.0,1.24,0.92,1.66,1.88,2.73,3.97,4.3,4.61
g_1,0.04,0.04,0.06,0.05,0.06,0.13,0.57,0.79,1.0,1.12,1.91,1.45,2.25,3.13,3.17,3.89
c_0,0.04,0.04,0.03,0.05,0.04,0.14,0.68,1.09,0.9,1.0,1.35,2.1,2.44,3.02,3.51,3.63
f_0,0.02,0.03,0.03,0.03,0.04,0.08,0.49,0.6,0.56,0.71,1.0,1.18,1.75,3.52,2.61,2.06
b_0,0.02,0.03,0.02,0.04,0.03,0.05,0.43,0.51,0.7,0.46,0.81,1.0,1.57,2.27,3.05,2.41
h_0,0.01,0.02,0.02,0.02,0.02,0.04,0.29,0.36,0.46,0.39,0.56,0.65,1.0,1.11,1.31,1.65
e_0,0.01,0.02,0.01,0.01,0.01,0.03,0.22,0.27,0.32,0.32,0.29,0.45,0.92,1.0,1.29,1.12
a_0,0.01,0.01,0.01,0.02,0.02,0.03,0.21,0.24,0.32,0.3,0.37,0.33,0.77,0.75,1.0,0.98
g_0,0.01,0.01,0.02,0.01,0.02,0.03,0.15,0.22,0.27,0.29,0.5,0.41,0.62,0.85,1.05,1.0
