,e_1,f_1,d_1,c_1,b_1,a_1,h_1,g_1,d_0,c_0,f_0,b_0,h_0,e_0,g_0,a_0
e_1,25.09,0.31,0.31,0.35,0.43,0.3,0.69,0.62,1.57,0.92,0.82,0.85,0.83,0.18,0.88,0.76
f_1,0.68,25.69,0.32,0.3,0.32,0.27,0.87,0.59,0.65,0.82,0.18,0.88,1.07,0.72,0.6,0.83
d_1,0.3,0.42,27.42,0.26,0.32,0.3,0.72,0.63,0.23,1.63,0.81,1.06,0.83,0.93,1.14,0.94
c_1,0.25,0.36,0.31,27.53,0.61,0.41,0.58,0.67,0.92,0.1,0.88,0.6,0.88,0.81,0.85,0.81
b_1,0.33,0.39,0.38,0.34,29.78,0.66,0.57,0.75,0.78,0.71,0.6,0.16,1.05,0.78,0.63,0.59
a_1,0.34,0.33,0.34,0.31,0.33,46.37,0.84,0.74,0.74,0.84,0.89,0.8,0.72,0.7,1.02,0.36
h_1,0.63,0.9,0.67,0.65,0.5,0.71,9.88,1.5,1.3,1.33,1.3,1.37,0.37,1.07,2.21,1.28
g_1,0.43,0.45,1.17,0.78,0.56,0.43,1.55,12.01,1.2,1.2,2.29,1.6,1.71,1.57,0.68,1.35
d_0,0.64,0.64,0.12,1.63,0.64,0.53,1.32,1.48,5.13,1.14,2.04,1.11,1.4,1.42,1.38,0.96
c_0,0.65,0.68,0.92,0.25,0.53,0.57,1.58,1.86,1.38,5.31,2.28,3.77,1.59,1.77,1.72,1.94
f_0,0.58,0.19,0.81,0.9,0.73,0.68,1.37,1.41,1.43,1.42,6.65,1.47,1.32,4.53,1.53,1.41
b_0,0.76,0.63,0.61,0.78,0.23,0.69,1.3,1.65,1.55,1.21,2.15,6.83,1.97,1.48,1.65,3.55
h_0,0.78,0.96,0.67,0.76,0.46,0.54,0.47,2.07,1.3,1.2,1.56,1.39,0.8,1.34,2.45,1.37
e_0,0.17,0.73,0.68,0.98,0.68,0.66,1.93,1.86,1.74,1.7,1.31,1.51,1.86,10.24,1.46,1.63
g_0,0.45,0.66,1.14,0.66,0.52,0.8,1.55,0.65,1.13,1.44,2.61,1.05,1.24,1.55,0.86,1.25
a_0,0.54,0.78,0.77,0.8,0.35,0.4,1.95,1.73,1.36,1.52,1.53,1.84,1.94,1.89,1.95,8.63
