,e_1,f_1,c_1,d_1,b_1,a_1,h_1,d_0,c_0,b_0,g_1,f_0,h_0,a_0,e_0,g_0
e_1,7674.96,130.46,210.87,238.78,571.17,1713.88,218951.57,925377.04,694289.15,2090636.36,1319448.41,2908441.77,8287685.46,6763635.37,,12395548.22
f_1,223.88,7872.93,231.17,247.01,424.24,2035.42,207800.73,499827.09,921948.52,1400586.19,1325912.96,,7079046.86,7039515.25,7069100.67,17794684.82
c_1,137.23,118.99,16184.22,301.65,864.85,1718.27,303593.93,456548.28,,1011221.56,1458754.41,2561321.65,7696660.17,3645394.82,10022168.8,20556385.97
d_1,105.4,110.93,78.07,23716.61,482.33,2342.83,281979.35,,1460327.36,2692450.57,1574610.46,3141755.62,9346430.62,5448345.97,9215454.04,21449365.96
b_1,89.39,127.59,215.37,345.19,41954.05,3610.27,273314.68,714741.22,766077.04,,970584.22,2957665.72,6401229.06,4749168.84,5837537.12,19065214.62
a_1,73.75,118.09,174.91,227.84,327.29,262996.61,246633.79,680148.51,1106068.57,,1528732.11,3456911.96,12182832.95,,9076615.59,13164857.18
h_1,451.79,632.34,813.04,1123.34,1384.25,6796.82,11850753.62,1906259.44,3004669.53,5911118.28,6395386.15,13125035.79,,18733395.19,30997255.08,91552620.52
d_0,664.14,462.27,2139.76,,1916.37,7299.93,1139817.89,15238338.85,5330377.25,9923130.06,8311805.16,11608942.55,37687575.61,26629508.02,,100860038.62
c_0,598.41,747.82,,1758.45,1992.93,5501.65,1210455.89,2524930.13,32316186.07,13794927.95,6857467.48,14809211.17,45226595.91,34118234.57,36951587.77,83370199.32
b_0,813.26,585.14,984.9,1336.36,,,1249884.17,2553213.76,5095731.73,78236553.24,7651622.72,12976923.41,39425183.41,47803087.54,,94346584.76
g_1,316.41,378.27,629.97,1629.09,1440.13,7830.73,1081616.4,1788786.87,3834530.64,8531580.01,122425963.51,14733836.47,27234666.38,,27196401.19,
f_0,366.73,,935.87,1132.91,1581.32,11244.12,1084382.68,3339068.83,5894651.02,11833275.07,9602036.35,131981115.14,51013954.1,32814051.71,65155014.61,85194799.65
h_0,714.11,1006.19,1975.87,2481.8,2072.05,19117.84,,3519900.01,9005834.68,15961508.31,14802131.61,18704920.86,,42680997.36,50220237.96,162234933.33
a_0,414.21,495.19,1018.73,1635.01,2262.31,,1046560.06,2927105.79,4517774.28,11168613.84,,18272777.1,33555439.22,317859491.15,38839158.06,89620503.52
e_0,,748.23,820.95,1428.59,2259.9,10842.55,1367394.65,,6371220.14,,9417381.81,18253254.9,53236994.92,31033618.96,424492080.06,69513339.27
g_0,577.79,620.27,1798.06,2889.86,4057.41,11313.96,1913786.3,3219816.37,9002811.07,10542455.85,,35199371.34,65196030.01,40928396.02,46438123.77,
