,d_1,f_1,e_1,c_1,b_1,a_1,h_1,g_1,d_0,c_0,b_0,f_0,h_0,a_0,g_0,e_0
d_1,2.11,0.8,0.63,0.56,0.73,0.79,0.99,0.99,0.63,1.74,1.2,1.09,1.04,1.12,1.05,1.14
f_1,0.71,2.1,1.28,0.74,0.61,0.57,0.92,0.91,0.91,0.87,0.9,0.53,1.03,0.91,1.0,0.6
e_1,0.66,0.8,2.09,0.88,0.79,0.73,0.99,0.91,1.67,0.94,1.06,0.95,0.87,0.92,0.9,0.65
c_1,0.73,0.68,0.68,2.48,1.37,0.6,0.96,1.01,0.84,0.44,0.63,1.11,1.04,0.93,0.89,0.92
b_1,0.76,0.75,0.74,0.8,2.53,1.45,0.76,0.74,0.87,0.82,0.59,0.98,0.88,0.81,1.01,0.98
a_1,0.87,0.73,0.7,0.83,0.73,3.53,1.03,1.0,0.92,0.89,1.06,1.0,1.05,0.67,1.08,1.1
h_1,0.91,1.12,0.81,0.89,0.69,0.66,2.01,1.37,0.88,0.98,0.86,0.92,0.76,1.03,1.2,1.11
g_1,1.27,0.8,0.71,0.8,0.74,0.63,0.97,2.33,0.89,1.09,1.01,1.56,1.02,0.97,0.67,1.37
d_0,0.61,0.86,0.81,1.62,0.78,0.65,1.08,0.97,1.61,0.77,1.05,0.87,1.05,0.86,0.94,1.18
c_0,0.98,0.98,0.78,0.6,0.63,0.79,1.24,1.03,1.06,1.62,2.02,1.08,1.2,1.35,1.03,1.45
b_0,1.03,0.97,0.79,0.86,0.47,0.73,1.18,1.03,0.94,0.96,1.82,1.07,1.17,2.0,1.23,1.07
f_0,0.98,0.69,0.72,0.79,0.75,0.89,1.09,1.03,1.09,1.14,1.17,2.1,1.05,1.19,1.13,2.58
h_0,0.99,1.2,0.86,0.76,0.68,0.7,0.62,1.3,0.91,0.93,1.2,1.11,0.91,1.09,1.4,0.97
a_0,0.9,0.99,0.79,0.91,0.78,0.4,1.14,1.04,1.21,1.12,1.26,1.03,1.27,2.27,1.14,1.11
g_0,1.26,0.75,0.74,0.83,0.75,0.75,0.92,0.76,0.89,1.07,1.15,1.69,1.07,1.15,0.91,1.25
e_0,0.99,0.97,0.67,0.81,0.85,0.79,1.13,1.13,0.93,0.93,1.27,1.13,1.28,1.18,0.99,2.44
