,d_1,e_1,f_1,c_1,b_1,a_1,h_1,g_1,c_0,d_0,b_0,f_0,h_0,a_0,e_0,g_0
d_1,1.0,1.08,1.07,0.8,0.98,,1.09,0.84,1.27,,1.08,0.95,1.14,1.17,0.96,0.81
e_1,0.93,1.0,0.72,0.96,0.86,1.06,1.07,1.08,0.88,1.58,0.96,0.94,1.0,1.2,,1.06
f_1,0.93,1.39,1.0,1.21,1.02,0.98,0.84,1.24,0.93,0.92,1.06,,0.87,0.96,0.95,0.77
c_1,1.26,1.04,0.83,1.0,1.43,1.04,1.13,0.9,,0.74,1.05,1.21,0.98,,,1.27
b_1,1.02,1.17,0.98,0.7,1.0,,1.0,0.98,1.15,0.92,,0.98,0.66,1.04,1.33,1.13
a_1,,0.94,1.02,0.97,,1.0,0.86,1.21,0.82,1.07,1.13,1.04,1.48,,,0.88
h_1,0.92,0.94,1.19,0.88,1.0,1.16,1.0,1.31,0.98,1.01,0.87,0.83,,0.8,1.0,1.21
g_1,1.19,0.93,0.81,1.11,1.02,0.83,0.76,1.0,1.15,0.88,1.09,1.36,0.81,0.94,1.22,
c_0,0.79,1.14,1.08,,0.87,1.22,1.02,0.87,1.0,1.08,1.37,1.02,1.05,0.76,0.91,0.88
d_0,,0.63,1.09,1.36,1.09,0.94,0.99,1.14,0.93,1.0,1.19,0.96,0.95,1.06,1.0,1.02
b_0,0.93,1.04,0.94,0.96,,0.89,1.15,0.92,0.73,0.84,1.0,0.83,1.35,1.59,0.93,1.43
f_0,1.06,1.07,,0.83,1.02,0.96,1.2,0.74,0.98,1.04,1.2,1.0,1.24,1.02,1.3,0.64
h_0,0.88,1.0,1.15,1.02,1.52,0.68,,1.24,0.95,1.05,0.74,0.8,,0.87,0.88,1.28
a_0,0.85,0.83,1.04,,0.96,,1.25,1.07,1.31,0.94,0.63,0.98,1.15,1.0,,0.94
e_0,1.04,,1.05,,0.75,,1.0,0.82,1.1,1.0,1.07,0.77,1.13,,1.0,1.18
g_0,1.23,0.94,1.29,0.79,0.88,1.13,0.83,,1.13,0.98,0.7,1.56,0.78,1.06,0.85,
